Company Name,Company Link,Description,Location
Ontology,https://vault.alchemistaccelerator.com/companies/public/ontology,Online Medical Second Opinion Tool that Gives Easy Access to World-Class Specialists with the Click of a Button,USA
Gritwell,https://vault.alchemistaccelerator.com/companies/public/gritwell,"A subscription service to treat the root cause of chronic symptoms- focused on nutrition, lifestyle and environmental factors.",USA
Spectrum CannaLabs,https://vault.alchemistaccelerator.com/companies/public/spectrum-cannalabs,Protecting the Health and Safety of Cannabis Users by Providing the Only Pharmaceutical Grade Testing Solution for Cannabis Products,USA
"Yaydoo, Inc",https://vault.alchemistaccelerator.com/companies/public/yaydoo,Procure-to-Pay Automation Platform that Streamlines Business Purchasing Using AI-Powered SaaS and B2B Payment Tools,Mexico
Purcell,https://vault.alchemistaccelerator.com/companies/public/smart-bins,'Packaging at purchase' through simplified refill solutions.,USA
Bludot Technologies Inc.,https://vault.alchemistaccelerator.com/companies/public/bludot-technologies,Software Platform for Cities' Economic Development,USA
replex Inc.,https://vault.alchemistaccelerator.com/companies/public/replex,Replex is the only multi-cloud cost management and governance platform purpose built for cloud-native and microservices-based infrastructure.,USA
DinoPlusAI,https://vault.alchemistaccelerator.com/companies/public/dinoplusai,"Mission Critical AI Processor with LRS (Latency,Reliability, Security) beside CE (Computing power, Energy efficiency) for Servers and Autonomous Cars",USA
Bayware,https://vault.alchemistaccelerator.com/companies/public/bayware,"Application-Centric Software for Secure, Agile, Multi-Cloud Networking",USA
QPi Education,https://vault.alchemistaccelerator.com/companies/public/qpi-education,Teaching Tools that Help Non-Technical Educators Teach Computer Science,USA
PayBee,https://vault.alchemistaccelerator.com/companies/public/paybee,PayBee is SAAS for nonprofit fundraising. We automate most fundraising workflows to make it efficient for nonprofits and seamless for donors.,USA
Mechanica AI,https://vault.alchemistaccelerator.com/companies/public/mechanica-ai,Real-Time AI for Industrial Production,Europe Netherlands
Kyte | Get easier access to fewer cars,https://vault.alchemistaccelerator.com/companies/public/kyte-the-best-way-to-rent-a-car,"At Kyte, we’re committed to transforming the transportation experience. We believe in the power of personal mobility and having the freedom to access cars on-demand.",USA
SafetyTek Software,https://vault.alchemistaccelerator.com/companies/public/safetytek-software,"SafetyTek is a workplace safety engagement platform, built to enable construction companies to implement their company's safety program in an effectively by removing administrative burden.",Canada
Kapalya Inc.,https://vault.alchemistaccelerator.com/companies/public/kapalya,"Encryption Management Platform for unstructured data; Data Collaboration Platform Across Mobile, Endpoints, Public and Private Clouds",USA
SafeMode,https://vault.alchemistaccelerator.com/companies/public/safemode,"SafeMode developed the first Driver-Success platform called Driverz, transforming how transportation companies and drivers interact and perform.",USA
OpComm,https://vault.alchemistaccelerator.com/companies/public/opcomm,"Perioperative Microcollaboration and Workflow App. Team: Jacob Brandon, MD (Indiana University School of Medicine); Corbin Frye, MD (General Surgery Resident, Washington University School of Medicine)",USA
HPC Hub Inc.,https://vault.alchemistaccelerator.com/companies/public/hpc-hub,"Multi-Cloud HPCaaS Platform that Achieves Ideal Price/Performance Trade-offs through Optimal Hardware Configurations, Software Tuning and Workload Profiling",USA
Wisdom,https://vault.alchemistaccelerator.com/companies/public/wisdom,"Customer Experience Management platform (CXM) that's changing the way product teams explore, find, and fix broken customer experiences online. Wisdom uses ML to flag where users struggle, with a short video clip.",USA
RELAYTO document experience,https://vault.alchemistaccelerator.com/companies/public/relayto-document-experience,"Turn Static Marketing/Sales PDFs/Decks into Interactive Webpages. 1-Click Way to Get 12x Conversion + Engagement Analytics. Customers include: Accenture, Salesforce & PWC",USA
ChatCreate,https://vault.alchemistaccelerator.com/companies/public/chatcreate,Growing Mid-Market Ecommerce with Self-Setup Bots,Europe Estonia
Bobly Inc,https://vault.alchemistaccelerator.com/companies/public/bobly,**Bobly** captures in person feedback from customers while the experience is t...,USA
Operant Networks,https://vault.alchemistaccelerator.com/companies/public/operant-networks,Edge Communications Platform with Advanced Cybersecurity for Distributed Networks,USA
dumpling,https://vault.alchemistaccelerator.com/companies/public/dumpling,The business OS for gig,USA
"Nunetz, Inc.",https://vault.alchemistaccelerator.com/companies/public/nunetz,"Platform for collecting, visualizing, and analyzing big medical data",USA
Ejenta,https://vault.alchemistaccelerator.com/companies/public/ejenta,Applying NASA-licensed AI to remote health monitoring,USA
Laava Tech,https://vault.alchemistaccelerator.com/companies/public/laava-tech,Proprietary tech to decrease indoor farming lighting energy consumption by up to 90%,USA
Digify,https://vault.alchemistaccelerator.com/companies/public/digify,Document Security Made Simple,USA
Insera Health,https://vault.alchemistaccelerator.com/companies/public/insera-health,Insera Health is seeking to revolutionize the healthcare experience for patients...,USA
Bitesize,https://vault.alchemistaccelerator.com/companies/public/bitesize,Human augmentation platform for sales,USA
Gridline AI,https://vault.alchemistaccelerator.com/companies/public/gridline-ai,"AI-Powered platform to connect energy projects to financing companies, automating the financial due diligence processes.",USA
Autify,https://vault.alchemistaccelerator.com/companies/public/autify,Software QA automation powered by AI,USA
DeepBench,https://vault.alchemistaccelerator.com/companies/public/deepbench,Knowledge platform connecting experts with those who need them,USA
CruzFoam,https://vault.alchemistaccelerator.com/companies/public/cruzfoam,"Compostable styrofoam replacement from the ocean, for the ocean.",USA
Tangent.ai,https://vault.alchemistaccelerator.com/companies/public/tangent-ai,Enabling personalization for a cookie-less world.,USA
PenguinSmart Inc,https://vault.alchemistaccelerator.com/companies/public/penguinsmart,"Intelligent, Individualized Rehab Therapy for All",USA
Walrus Security,https://vault.alchemistaccelerator.com/companies/public/walrus-security,"Know Who You're Paying. Team: Michael Walfish (NYU CS Prof, PhD MIT, BA Harvard); Andrew Blumberg (UT Math Prof, PhD UChicago, BA Harvard, EFF Advisor); Max Howald (B.Eng Cooper Union)",USA
Foresight Mental Health,https://vault.alchemistaccelerator.com/companies/public/foresight-mental-health,Leveraging Technology to Revolutionize Mental Healthcare,USA
IoTrek Inc.,https://vault.alchemistaccelerator.com/companies/public/iotrek,Improving Operational Efficiency of Construction Job Sites by Leveraging Location & Movement Data of Workers and Equipment,USA
nCorium,https://vault.alchemistaccelerator.com/companies/public/ncorium,Increase data center RoI through memory storage technologies that deliver 5X mor...,USA
Redbird,https://vault.alchemistaccelerator.com/companies/public/redbird,"Redbird enables digital clinical trials and pharma R&D via real world evidence from convenient, decentralized health monitoring in emerging markets, starting with Africa.",Ghana
When Labs,https://vault.alchemistaccelerator.com/companies/public/when-labs,Transforming hourly work to be self managing,USA
Tag.bio,https://vault.alchemistaccelerator.com/companies/public/tag-bio,Tag.bio allows you to have a conversation with your data.,USA
Phoneic,https://vault.alchemistaccelerator.com/companies/public/phoneic,Mobile app that records and transcribes cell phone calls for field sales teams,USA
Birdnest Inc.,https://vault.alchemistaccelerator.com/companies/public/birdnest,Birdnest personalizes marketing touchpoints for residential real estate agents. ...,USA
"Hardin Scientific, Inc.",https://vault.alchemistaccelerator.com/companies/public/hardin-scientific,Hardin Scientific is at the forefront of technological advancement. We provid...,USA
Shuttle Technologies,https://vault.alchemistaccelerator.com/companies/public/shuttle-technologies,The fastest way to book a flight to space.,USA
Twizted Design,https://vault.alchemistaccelerator.com/companies/public/twizted-design,"Our vision is to revolutionize how OTT media is created, personalized and consum...",USA
"Dementia Prevention Systems, Inc.",https://vault.alchemistaccelerator.com/companies/public/dementia-prevention-systems,To promote and impact brain health for life.,USA
FirstCut Studio,https://vault.alchemistaccelerator.com/companies/public/firstcut-studio,Ai for video content creation,USA
LynxCare,https://vault.alchemistaccelerator.com/companies/public/lynxcare,LynxCare is an AI-powered Big Data platfrom in Healthcare. We built advanced NLP...,USA
Arkose Labs,https://vault.alchemistaccelerator.com/companies/public/arkose-labs,Arkose Labs solve multimillion-dollar fraud problems for the world’s most targeted businesses with zero friction to users.,USA
Spiio,https://vault.alchemistaccelerator.com/companies/public/spiio,Saving every drop of water with in-ground soil data.,USA
"ADIAN, inc",https://vault.alchemistaccelerator.com/companies/public/adian,SaaS Platform that Improves Agrochem's Supply Chain by Helping Manufacturers Trade in a More Efficient and Profitable Way with their Distributors and Farmers,USA
21Squared,https://vault.alchemistaccelerator.com/companies/public/21squared,Social Fashion Shopping Platform Where We Combine AI with User Generated Contents to Help Plus Size Women Shop,USA
ZaiNar,https://vault.alchemistaccelerator.com/companies/public/zainar,**ZaiNar: Real-Time Automatic Location Tracking ** **ZaiNar in brief: ** ZaiNa...,USA
GridRaster,https://vault.alchemistaccelerator.com/companies/public/gridraster,Built a Cloud-Based Platform for Powering High Quality AR/VR on Mobile Platforms,USA
TorchFi,https://vault.alchemistaccelerator.com/companies/public/wifi-waiter-torchfi,"Building partnership between hotels and local eateries. Team: Anup Balagopal (4th startup, 1 exit)",USA
Intensivate,https://vault.alchemistaccelerator.com/companies/public/intensivate,Processing technology designed for cloud based analytics and database workloads,USA
"Ondaka, Inc.",https://vault.alchemistaccelerator.com/companies/public/ondaka,Making Industrial Knowledge Accessible with Data-Rich 3D Models of Sites and Deep-Learning Driven Insights for Top-Line Growth and OPEX Improvement,USA
Ubiquios,https://vault.alchemistaccelerator.com/companies/public/ubiquios,"A Full Stack for IoT Edge Devices. Used by Qualcomm, Kyrio, and Catena. We Simplify the Development of IoT Devices Resulting in Lower Cost, Faster Time to Market, and Fully Featured Devices.",USA
Integry,https://vault.alchemistaccelerator.com/companies/public/integry,Put user-facing integrations inside your app,USA
Cattle Care,https://vault.alchemistaccelerator.com/companies/public/cattle-care,-,USA
Tika.ai,https://vault.alchemistaccelerator.com/companies/public/tika-ai,Your Daily Workflow Simplified,USA
Vorga,https://vault.alchemistaccelerator.com/companies/public/vorga,Vorga provides an AI-driven potency testing platform for cannabis farmers and ma...,USA
LightboxVR,https://vault.alchemistaccelerator.com/companies/public/lightboxvr,Automated 3D Scans of Products to Enable Next-Gen Retail Experiences,USA
Tarsier,https://vault.alchemistaccelerator.com/companies/public/tarsier,Drone detection for the masses.,USA
AitoeLabs,https://vault.alchemistaccelerator.com/companies/public/aitoelabs,We use Artificial Intelligence to help convert hours of security camera footage ...,USA
"4me, Inc",https://vault.alchemistaccelerator.com/companies/public/4me,"4me is a SaaS solution that combines ITSM with ESM and SIAM capabilities making it possible for all internal departments, such as IT, HR and Facilities, to work seamlessly with each other, as well as with MSPs.",USA
TERBINE,https://vault.alchemistaccelerator.com/companies/public/terbine,Terbine is the first wide-scale commercial exchange for IoT data.,USA
Zenith Aerospace,https://vault.alchemistaccelerator.com/companies/public/zenith-aerospace,Terbine is the first wide-scale commercial exchange for IoT data.,USA
Arrivy,https://vault.alchemistaccelerator.com/companies/public/arrivy,"Streamline Operations, Delight Customers",USA
NFWare,https://vault.alchemistaccelerator.com/companies/public/nfware,World's Fastest Network Virtualization,USA
Convey Software,https://vault.alchemistaccelerator.com/companies/public/convey-software,Sentiment Analysis Search Engine & Dashboard Supplementing Traditional Polling a...,USA
Acuity.AI,https://vault.alchemistaccelerator.com/companies/public/acuity-ai,AcuityAI identifies purchasable products from every video on the internet and make them directly shoppable.,USA
"Cognito Networks, Inc.",https://vault.alchemistaccelerator.com/companies/public/cognito-networks,"IoT Interoperability & App Framework for Enterprise Energy Mgmt that automates workflows, streamlines operations, & delivers 20-35% savings",USA
Ozonetel Systems,https://vault.alchemistaccelerator.com/companies/public/ozonetel-systems,Built for fast-growing businesses. Scalable Secure CCaaS. Go cloud. Go remote.,USA
Netifi,https://vault.alchemistaccelerator.com/companies/public/netifi,"Platform to enable businesses to create realtime web, mobile, and IoT experience...",USA
Carta Healthcare Inc.,https://vault.alchemistaccelerator.com/companies/public/carta-healthcare,Carta helps healthcare providers improve patient care using insights from the pa...,USA
BentoML,https://vault.alchemistaccelerator.com/companies/public/atalaya-dba-bentoml,Machine Learning Model Serving Made Easy,USA
Glidian,https://vault.alchemistaccelerator.com/companies/public/glidian,,USA
Back4app,https://vault.alchemistaccelerator.com/companies/public/back4app,Low-code backend to build modern apps.,USA
Quantum Insights,https://vault.alchemistaccelerator.com/companies/public/quantum-insights,QI's Dynamic Quantum Clustering (DQC) Solves the Problem of Finding Unexpected I...,
"Ceevra, Inc.",https://vault.alchemistaccelerator.com/companies/public/ceevra,Ceevra is a San Francisco Based Health Tech Startup. Our Cloud-Based Software Ap...,USA
Faber,https://vault.alchemistaccelerator.com/companies/public/faber,A Platform that Connects Contractors to Construction Workers.,Canada
Blitzz,https://vault.alchemistaccelerator.com/companies/public/blitzz,"A Video, AI and AR Powered Workflow Platform for Field Service Teams.",USA
Savion Aerospace,https://vault.alchemistaccelerator.com/companies/public/savion-aerospace,Savion's mission is to introduce cleaner energy into aviation by creating aircra...,USA
Sparkflows.io,https://vault.alchemistaccelerator.com/companies/public/sparkflows-io,Self Serve Enterprise AI,USA
Everykey,https://vault.alchemistaccelerator.com/companies/public/everykey,"No more Passwords, No more Keys",USA
Authenticiti,https://vault.alchemistaccelerator.com/companies/public/authenticiti,Authenticiti is an application framework for enterprise deployments of Ethereum ...,USA
Snapwire Media Inc.,https://vault.alchemistaccelerator.com/companies/public/snapwire-media,Snapwire connects a new generation of photographers with businesses and brands t...,USA
Mo-Data,https://vault.alchemistaccelerator.com/companies/public/mo-data,AI Driven Sales Management Platform for High Velocity SMB/E B2B Sales Teams.,USA
Mycrophone,https://vault.alchemistaccelerator.com/companies/public/mycrophone,Low Latency Audio Platform that Turns Mobile Devices into Wireless Microphones. ...,
Groove Technologies,https://vault.alchemistaccelerator.com/companies/public/groove-technologies,Talent Marketing Platform Designed to Help Enterprise Companies Source Talent from Facebook,
Parabol,https://vault.alchemistaccelerator.com/companies/public/parabol,"Team insights from productivity data, not surveys",USA
SalesRep.ai,https://vault.alchemistaccelerator.com/companies/public/salesrep-ai,We help companies nurture and follow up with their leads more effectively throug...,USA
Wivity Inc.,https://vault.alchemistaccelerator.com/companies/public/wivity,Wivity's Standards DAO governance framework is the missing piece to bringing Web3 to trillion-dollar industries,USA
Aatonomy,https://vault.alchemistaccelerator.com/companies/public/aatonomy,Transforming Houston into the world’s first ‘self-driving city’ by enabling autonomous driving that relies entirely on in-place infrastructure instead of on-board sensors.,
MeetingSift,https://vault.alchemistaccelerator.com/companies/public/meetingsift,Meeting collaboration platform,
Amber Agriculture,https://vault.alchemistaccelerator.com/companies/public/amber-agriculture,Amber Agriculture uses sensing and analytics to help farmers capture high market...,
"Edyza, Inc.",https://vault.alchemistaccelerator.com/companies/public/edyza,Edyza powers nervous systems for the physical world with our IoT-HD technologies.,USA
Stellic,https://vault.alchemistaccelerator.com/companies/public/stellic,College Experience Platform designed for today's students to organize their upco...,USA
Fuse Inventory,https://vault.alchemistaccelerator.com/companies/public/fuse-inventory,Powering the next generation of commere,USA
Enwoven,https://vault.alchemistaccelerator.com/companies/public/enwoven,Capture and share knowledge simply.,USA
Privacera,https://vault.alchemistaccelerator.com/companies/public/privacera,Privacera provides intelligent and integrated security and privacy tools for ent...,USA
Farmwise,https://vault.alchemistaccelerator.com/companies/public/farmwise,Data-driven services to empower farmers.,USA
Amper Technologies,https://vault.alchemistaccelerator.com/companies/public/amper-technologies,Amper provides factories with visibility to their operations by monitoring machi...,USA
Moesif,https://vault.alchemistaccelerator.com/companies/public/moesif,Build Better APIs with Moesif API Analytics,USA
Visage,https://vault.alchemistaccelerator.com/companies/public/visage,Automated candidate sourcing using AI & Crowdsourcing,USA
Plan,https://vault.alchemistaccelerator.com/companies/public/plan,Plan builds software that acts as the central brain of a company -- automating t...,USA
HotSwitch,https://vault.alchemistaccelerator.com/companies/public/hotswitch,Interactive TV as a service - Enterprise streaming SDK,USA
"Bloxable, Inc.",https://vault.alchemistaccelerator.com/companies/public/bloxable,Blockchain-powered smart-contracts solutions for the $2.5 trillion Securitizatio...,USA
Adenda,https://vault.alchemistaccelerator.com/companies/public/adenda,"Adenda uses AI to power next-generation push notifications that are full-page, i...",
"Remote Interview, Inc.",https://vault.alchemistaccelerator.com/companies/public/remote-interview,Online programming screening,
Shortlist,https://vault.alchemistaccelerator.com/companies/public/shortlist,Enterprise Freelancer Management Software,USA
SupplyAI,https://vault.alchemistaccelerator.com/companies/public/supplyai,"AI-Powered platform that helps retailers delivery great post purchase experience, efficiently",USA
CryptoMove,https://vault.alchemistaccelerator.com/companies/public/cryptomove,"CryptoMove is moving target defense for data, a fundamentally different approach...",
Jirav,https://vault.alchemistaccelerator.com/companies/public/jirav,Business financial planning & predictive analytics,
Pubinno,https://vault.alchemistaccelerator.com/companies/public/pubinno,The Future of Draft Beer,USA
Tallyfy,https://vault.alchemistaccelerator.com/companies/public/tallyfy,Never forget a task,USA
Cloudastructure,https://vault.alchemistaccelerator.com/companies/public/cloudastructure,Cloud-controlled infrastructure that enables centralized monitoring and user man...,
"Byte Foods, Inc.",https://vault.alchemistaccelerator.com/companies/public/byte-foods,,USA
Puloli,https://vault.alchemistaccelerator.com/companies/public/puloli,Private IoT Network-as-a-Service,USA
LeadIQ,https://vault.alchemistaccelerator.com/companies/public/leadiq,Provides sales prospecting & automation to help sales & marketing teams capture ...,USA
Kensu Inc,https://vault.alchemistaccelerator.com/companies/public/kensu,"Created DAM which is the First of its kind Governance, Compliance & Performance ...",USA
RankMyApp,https://vault.alchemistaccelerator.com/companies/public/rankmyapp,RankMyApp is the leader in app user acquisition in Latin America and is reinventing the contact center with technology and a marketplace of freelancers.,Brazil
Geospago Inc,https://vault.alchemistaccelerator.com/companies/public/geospago,Geospago is the New Relic for logistics operations. Exceptions cost $1.2T global...,USA
Flowcast Inc. / Tillful,https://vault.alchemistaccelerator.com/companies/public/flowcast,Tillful is rewiring business credit score to help SMEs build stronger business financial health and fulfill their full potential,USA
GoodTime.io,https://vault.alchemistaccelerator.com/companies/public/goodtime-io,Scheduling automation,USA
"Keewi, Inc.",https://vault.alchemistaccelerator.com/companies/public/keewi,"Start up sitting at the intersection of energy, AI, and IoT. Keewi's vision is...",USA
"Mobile Enerlytics, LLC",https://vault.alchemistaccelerator.com/companies/public/mobile-enerlytics,Don't Let Battery Drain Kill Your Mobile Business,USA
Evolute,https://vault.alchemistaccelerator.com/companies/public/evolute,We create enterprise software for Fortune 500 IT Managers to operate at the edge...,USA
"Resoltz, Inc.",https://vault.alchemistaccelerator.com/companies/public/resoltz,"Resoltz is a lifetime fitness companion app designed for universities, their stu...",
Doxel,https://vault.alchemistaccelerator.com/companies/public/doxel,Doxel is a predictive analytics solution for construction that uses automated su...,USA
Proxloop,https://vault.alchemistaccelerator.com/companies/public/proxloop,We empower retailers to create authentic relationships with customers in-store. ...,USA
YotaScale,https://vault.alchemistaccelerator.com/companies/public/yotascale,"YotaScale optimizes cloud infrastructure for enterprise, driving costs down whil...",USA
"Volans-i, Inc.",https://vault.alchemistaccelerator.com/companies/public/volans-i,Autonomous Aerial Delivery Solutions,USA
Sempre Health,https://vault.alchemistaccelerator.com/companies/public/sempre-health,"Bringing behavior-based, dynamic pricing to healthcare.",USA
Metadata,https://vault.alchemistaccelerator.com/companies/public/metadata,-,USA
FunnelBeam,https://vault.alchemistaccelerator.com/companies/public/funnelbeam,AI Driven Account Based Sales. Uses deep learning across 1B URLs and enterprise ...,USA
"RageOn, Inc.",https://vault.alchemistaccelerator.com/companies/public/rageon,Empowering the Creators of this World,USA
Amodo,https://vault.alchemistaccelerator.com/companies/public/amodo,Connected Insurance Client Platform.,USA
PalleTech,https://vault.alchemistaccelerator.com/companies/public/palletech,"PalleTech is digitizing transportation pallets to tackle cargo getting spoiled, ...",
Switch Automation,https://vault.alchemistaccelerator.com/companies/public/switch-automation,Enterprise Operations Platform For Portfolios Of Buildings. Connects Systems And Devices To Cloud Hosted Building Management System For Real-Time Monitoring And Controls.,USA
Wholemeaning (WM),https://vault.alchemistaccelerator.com/companies/public/wholemeaning-wm,Grow from conversations with your clients,USA
NanoVMs,https://vault.alchemistaccelerator.com/companies/public/nanovms,We are the only provider of Go unikernels eliminating the majority of security p...,
Zycada Networks,https://vault.alchemistaccelerator.com/companies/public/zycada-networks,Mobile apps network response time is dependent on a lot of factors. Our SDK free...,
Cleer Networks,https://vault.alchemistaccelerator.com/companies/public/cleer-networks,CLEER will enable the delivery of highly interactive digital media and applicati...,
Quantiply Corporation,https://vault.alchemistaccelerator.com/companies/public/quantiply,"Quantiply is the leader in enterprise performance management, offering a suite o...",
QC Ware,https://vault.alchemistaccelerator.com/companies/public/qc-ware,QC Ware is the leading quantum computing software startup. It is based in Palo A...,USA
Exabyte.io,https://vault.alchemistaccelerator.com/companies/public/exabyte-io,Enterprise software platform accelerating the development of new materials and chemicals through modeling and simulations.,USA
SensorHound,https://vault.alchemistaccelerator.com/companies/public/sensorhound,Industry's first vertical-agnostic operations monitoring solution that reduces o...,
Litmus Automation,https://vault.alchemistaccelerator.com/companies/public/litmus-automation,Intelligent Edge Computing for Industrial IoT,USA
Rigetti Quantum Computing,https://vault.alchemistaccelerator.com/companies/public/rigetti-quantum-computing,"General-Purpose, Commercial Quantum Supercomputing Systems.",USA
Datawallet,https://vault.alchemistaccelerator.com/companies/public/datawallet,[Datawallet](https://datawallet.com/) is the world’s leading blockchain based da...,USA
Positron Dynamics,https://vault.alchemistaccelerator.com/companies/public/positron-dynamics,Putting Antimatter to Work.,
mPharma,https://vault.alchemistaccelerator.com/companies/public/mpharma,Making health accessible and affordable to all Africans.,
Billo,https://vault.alchemistaccelerator.com/companies/public/billo,"Billo – user-generated video platform, which helps brands to boost conversions with custom made Facebook Video Ads made by people who want their products.",Europe Lithuania
Carrum Health,https://vault.alchemistaccelerator.com/companies/public/carrum-health,Marketplace for planned healthcare procedures.,USA
LaunchDarkly,https://vault.alchemistaccelerator.com/companies/public/launchdarkly,Modern product management platform to manage and optimize software.,USA
nanoPay inc,https://vault.alchemistaccelerator.com/companies/public/nanopay,"Next generation payments platform for online and retail. Secure, fast and lower ...",
Cobalt,https://vault.alchemistaccelerator.com/companies/public/cobalt,Pen Testing as a Service (PTaaS).,USA
Scoro Software,https://vault.alchemistaccelerator.com/companies/public/scoro,"Scoro's end-to-end work management software helps professional service businesses streamline projects, automate quoting and billing, optimize utilization and much more.",Europe Estonia
MoEngage Inc.,https://vault.alchemistaccelerator.com/companies/public/moengage,Marketing Automation Platform pioneering user-level personalization and solving ...,
OneMob,https://vault.alchemistaccelerator.com/companies/public/onemob,"OneMob makes video recording (mobile, web and screen), sending and tracking easy...",USA
Zipline,https://vault.alchemistaccelerator.com/companies/public/zipline,SaaS solution that drives sales for national retailers by improving the actionab...,USA
Kugar Systems,https://vault.alchemistaccelerator.com/companies/public/kugar-systems,Highly versatile robotics platform providing solutions in manufacturing and mate...,
Groove,https://vault.alchemistaccelerator.com/companies/public/groove,,USA
3DPrinterOS,https://vault.alchemistaccelerator.com/companies/public/3dprinteros,3DPrinterOS has developed the world’s first operating system for desktop 3D Prin...,USA
Freedcamp,https://vault.alchemistaccelerator.com/companies/public/freedcamp,The standard tool for collaboration. Organize anything.,USA
Ladera Labs,https://vault.alchemistaccelerator.com/companies/public/ladera-labs,Industrial Internet-of-Things company focused on real-time telemetry solutions f...,USA
Oomnitza,https://vault.alchemistaccelerator.com/companies/public/oomnitza,Enterprise Asset Management solution focused on the emerging connected world to ...,USA
ShoppinPal / Fermyon,https://vault.alchemistaccelerator.com/companies/public/shoppinpal-fermyon,ShoppinPal - Integrations Platform for the SME Cloud,USA
Domos Labs,https://vault.alchemistaccelerator.com/companies/public/domos-labs,Cloud-based Software for WiFi Routers that Make Connected Home Technology Seamle...,
Matternet,https://vault.alchemistaccelerator.com/companies/public/matternet,UAV networks for the transportation of goods.,
BadgerMaps,https://vault.alchemistaccelerator.com/companies/public/badgermaps,Mobile software that helps sales people fit more meetings into their day while i...,
NeoReach,https://vault.alchemistaccelerator.com/companies/public/neoreach,Influencer Marketing Software,USA
rENIAC,https://vault.alchemistaccelerator.com/companies/public/reniac,Solve customer’s need for real-time analytics (FAST BIG DATA) by moving their cu...,
Sense.ly,https://vault.alchemistaccelerator.com/companies/public/sense-ly,Patient-frendly tool that helps clinicians better manage their chronically ill p...,USA
Thinnect,https://vault.alchemistaccelerator.com/companies/public/thinnect,Enabling Mist computing for IoT - eliminating configuration and deployment overh...,
Mixed Dimensions,https://vault.alchemistaccelerator.com/companies/public/mixed-dimensions,On-demand merchandising for in-game captures,USA
NextInput,https://vault.alchemistaccelerator.com/companies/public/nextinput,3D Touch Technology for next-generation User Interfaces.,
Placements.io,https://vault.alchemistaccelerator.com/companies/public/placements-io,Automating sales operations for digital publishers.,
PlayVox,https://vault.alchemistaccelerator.com/companies/public/playvox,Customer Service Quality Assurance Software,
Stratio,https://vault.alchemistaccelerator.com/companies/public/stratio,Infrared Made Accessible,
Restaurant Cheetah,https://vault.alchemistaccelerator.com/companies/public/restaurant-cheetah,Restaurant Food Supplier,USA
Xockets,https://vault.alchemistaccelerator.com/companies/public/xockets,"Licenses software and hardware designs producing scalable, faster, and future-pr...",USA
ActiveScaler,https://vault.alchemistaccelerator.com/companies/public/activescaler,Mobility Creates Opportunity,USA
