Company Name,Company Description,Company Link
1st of the month,User friendly digital platform which empowers people to own their own health.,https://www.1stofthemonth.co
AIFluence,Africa's 1st AI-Driven Influencer Marketing Platform,https://www.ai-fluence.com
AIKA Collectible,"Aika collectible allows artists, athletes and creators to fuel their growth by tapping into their communities, and for the fans—to invest in their favorites and be part of their success story.",https://aikacollectible.com/
AWAN,AW:AN (As We Are Now) is a tech-driven DTC brand on a mission to redesign comfortable clothes for women.,https://www.aswearenow.co
Abel,Engaging and original audio entertainment for kids.,https://abel-studios.com/
Academix,Educate Indonesian workers and connect them to offshore job opportunities,https://www.academix.id
Academlo,Learn to code. Get a job.,https://www.academlo.com
Acanthis,Acanthis is an integrated SaaS web application that provides SMBs with the insights and advice that they need in a way that they can understand.,https://www.acanthis.io
Acceleq,Automates medical documentation.,https://www.acceleq.com/
Ad Auris,Transform your written work into audio.,https://www.ad-auris.com
Adaptive,Adaptive is transforming the current state of DevOps and infrastructure functions for millions of developers and engineering managers globally.,https://www.adaptive.live
Ads-Run,Advertisement matching platform that connects advertisers and drivers,https://adsrun.imweb.me/
Afterefx,Afterefx enables investors to combine their experience and knowledge with the power of Alternative Data and Data Science to generate alpha.,https://www.afterefx.com
AiBA,"Real-time detection of fake profiles, grooming and toxicity.",https://www.aiba.ai
AiCare,AiCare combines IoT and AI to give motor insurance companies the most accurate risk assessment of their policyholders.,https://www.aicare.co.ke
Airmo,"A new approach to locate, quantify and track carbon dioxide and methane emissions using a small satellite constellation",https://www.airmo.io
Aival,"Evaluation and monitoring of healthcare imaging AI products. Our software enables clinicians and decision-makers to rapidly evaluate different products and choose the ones which offer greatest clinical benefit for their patients, and to ensure continued performance and fairness while in use.",https://www.aival.io/
Akar,Akar accelerate hyperlocal food security through modular indoor farming technology,http://www.akar.farm
Aline,Aline is an EdTech platform validating informal learning and enabling data-driven development for organisations and individuals.,https://www.alinebetter.com
Allihoop,Allihoop  is a technology enabled co-living brand offering flexible urban living in cities for professionals on the move.,https://www.allihoop.se
Allspring,"Reinventing how enterprise departments grow and retain talent, starting with sales teams.",https://www.tryallspring.com/
Alpha Impact,A platform allowing novice cryptocurrency enthusiasts to securely and safely follow the trades of industry veterans.,https://www.alphaimpact.fi
Alphashine,Reimagining The Way People Use Car Detailing Services Globally.,https://www.alphashine.io/ca/home
Alternō,"AirCity is a technology company that provides residential property management services to help owners manage their buildings hassle-free, anywhere and anytime, only with 5% of the revenue for the management fee.",https://www.alterno.group/
Amply,"Amply offers SMBs a holistic platform that centralizes financial operations. Using a proprietary machine-learning engine, Amply enriches clients’ individual financial transaction data and adds a layer of finance modules on top of it. SMBs will find the financial toolkits, insights and infrastructure to more efficiently execute their work.",http://getamply.io
Andisor,"Andisor is a curated, B2B digital marketplace, purpose-built for fashion.",https://www.andisor.com
Anyone,"Anyone is an audio app for advice on-demand that’s setting out to reinvent the phone book as we know it. All voice calls are 1:1 and five minutes long – short enough to connect with someone without having to go through their inbox or calendar, and structured enough to get advice around a specific topic. This creates direct access to inspiring but busy people who are finally able to pick up the phone – either for a set price per call, or just because they want to give back.",https://www.anyo.ne
ApniBus,India’s largest intercity mobility platform for the next 400 mn Bharat travellers.,https://www.apnibus.com
April Labs,"April works with local content creators to promote vacant real estate and local businesses to a younger, mobile audience through short, engaging walkthrough videos and content styles.",https://www.theaprilapp.com
Arkive,"A beauty platform that end-to-end digitizes beauty excess inventory, and implementing a cradle-to-cradle philosophy.",https://www.arkive.nl
Armada,Armada acquires high performing ecommerce brands. We continue the legacy of the brand founder and invest new capital to grow the brands.,https://www.armada-brands.com
ArtWallStreet,ArtWallStreet helps brands easily launch their NFT collections.,https://www.awst.io
AuMBER,AuMBER is a cloud platform allowing anyone in the world to access any smart device for testing purposes through a network of crowd-sourced devices.,https://aumber.io/
Automicle,Automicle provides app developers a unified API and contract to offer local mobility services to their app users.,https://www.automicle.com
B4Grad,"B4Grad is creating a mobile platform that allows students to share study materials such as notes, files, flash cards, and more, easily.",https://www.b4grad.com
BITVISION,Management reporting and regulatory compliance made easy. The BITVISON crypto accounting solution streamlines financial operations for businesses that use digital assets.,https://www.bitvision.info
BUYO,100% nature-based and fully biodegradable bioplastic solution to replace regular plastics.,https://buyoplastic.com/
Bakers,Amateur sports club management has never been this easier,https://bakers.co.kr/
Baselime,Observability solution for serverless architectures.,https://www.baselime.io
Basemaker,"A marketplace that rents custom audiences from creators to advertisers, making it easy the process of hypersegmentation in their digital ad campaigns",https://www.basemaker.co/
Baser,Baser helps companies increase their organic traffic through SEO automation.,https://getbaser.com
Benjamin,Puts 30 million cash-back locations in consumers' pockets by offering a banking platform that connects merchants and customers.,https://www.benjaminone.com/
BeyondBrands,"An all in one monetization platform that helps creators Launch, Grow and Scale their business without a single line of code",https://www.beyondbrands.io
Biogenes Technologies,Diagnostics simplified.,https://www.biogenestech.com
Blakthumb,Blakthumb is a software company that provides an intuitive end-to-end operating system for Indoor Agriculture.,https://www.blakthumb.com
Bling,Next-gen live commerce marketplace,https://www.bling.co.id
Blink,Instant Checkout for Indonesian eCommerce,http://www.blink.co.id
Bloss,"Creating inclusive, family-friendly workplaces.",https://www.blossapp.com
Bold Finance,Financial services platform revolutionizing the ~$85 billion unorganized gold loan market.,https://www.boldfinance.in
Bookee,"SaaS platform for fitness businesses to acquire, manage and grow their customer base.",https://www.bookeeapp.com
Bramp,Bramp is a smart and affordable branding ecosystem for startups and SME. We are on a mission to make strategic branding tools accessible to every budget and revolutionise the branding industry.,https://www.bramp.co
Break the Love,"Unlocking access to group-based tennis activities for players of all levels to learn, train, and compete in a more affordable way while enabling independent coaches to earn more income with flexibility.",https://www.breakthelove.com
Breathonix,Breath Tests for Disease Detection,https://www.breathonix.com
Breyta,Collaborative CRM system for SaaS companies,https://www.breyta.io
Brick,"Brick is a financial data application programming interface (API) that allows developers to offer in-app financial services ranging from data, to insights, Payments, personalised Finance. Their 1st product - Brick Data API - instantly gives any tech company in ASEAN access to their user’s local digital financial accounts via bank a/c, telco, e-wallet, e-commerce and super app data.",https://www.onebrick.io
Brieff,Brieff is a SaaS product that helps accountants enhance and scale their advisory services.,https://www.brieff.io
Brizo,Brizo is a third-party logistics provider that enables brands to offer sustainable same-day delivery while keeping control of their brand and data.,https://www.brizo.se
Buddywise,Buddywise uses computer vision and machine learning to improve and automate industrial safety monitoring and risk mitigation.,https://www.buddywise.co
BulkMagic,An e-voucher system that powers bulk savings.,https://bulkmagic.co/
Bump'n,"Hundreds of millions are unable to experience sexual pleasure due to disability, ageing, injury and arthritis. Bump'n believes in everybody's human right to sexual pleasure, so we're creating the first line of accessible sex toys.",https://www.getbumpn.com
CARRECT,CARRECT is to deliver the technical capabilities of the mechanic to customers. We aim to become the largest vehicle data analysis.,https://www.carrect.vn
CHOYS,CHOYS is a data-driven Chief Wellbeing Officer who takes personalised care of employees and make the organisation stronger,https://www.getchoys.com
CalcTree,"Engineers want to optimise their calculations to produce the most efficient designs possible. CalcTree is a platform to help them succeed. We let engineers transform tools they already love into intelligent, trusted calculations.",https://www.calctree.com
Callus Company,Reinvent Education,https://calluscompany.com/
Capply,Capply is a digital freight network that connects shippers with carriers to increase efficiency and decrease the carbon footprint of the industry.,https://www.capply.co
Car Clicks,Enabling small dealer in Indonesia,http://www.carclicks.id
Carb0n.fi,"Carb0n.fi is a Web3 solution creating a seamless and transparent solution for individuals and companies to offset their carbon footprint. We work with accredited, global carbon offset projects and mint Carbon Offset NFTs.",https://www.carb0n.fi
Carble,Carble helps coffee and cocoa brands reduce their impact on the climate by rewarding small-scale farmers for storing carbon in agroforestry farms.,https://www.carble.co
Carbonaught,"Carbonaught addresses the interlinked challenges of global food security and accelerating climate change by delivering large scale, permanent carbon removal while building productive, climate resilient soils that boost waterway health and biodiversity outcomes.",https://www.carbonaught.io/
CareNow+,Healthcare Pay Later,https://www.carenow.id
Caria,"Caria is a digital health platform that helps women in menopause connect with experts, a community, and evidence-based support",https://www.hellocaria.com
Casu,"We connect casual labourers with employers, enabling on-demand flexible work and workers at your fingertips!",https://www.casu.com.au
Causiq,Causiq is a SaaS that uses AI to provide companies with a holistic view of marketing channel effectiveness.,https://www.causiq.com
Cedar,Building the future of urban infill development.,https://www.cedar.build/
Celzo,"Lightly carbonated, vitamin-infused agua fresca made from natural ingredients.",https://www.celzodrink.com/
CharityStack,"Streamlines fundraising, donor management, and engagement.",https://www.charitystack.com/
Chexy,"Chexy is launching a card program specifically designed for renters, allowing them to pay rent digitally while earning rewards and building credit on rent payments.",https://www.chexy.co
Chippit,A social money app that allows you to multiply the power of your money by saving and borrowing with trusted friends and family.,https://www.chippit.com.au
Chorokwhale,Elemy.com for S.Korea,https://www.chorokwhale.com/
Churpy,Churpy is on mission to connect developers with an aggregated API for both financial data and payment processing. We are expanding across the African continent after connecting to the leading banks APIs in Kenya.,https://mosmos.co.ke/
Circulate,B2B marketplace for sustainable packaging,https://www.circulate8.com
Civils.ai,"Civils.ai creates original datasets for the construction industry to enable more accurate planning, design and calculation.",https://www.civils.ai
Classnika,"Classnika is reimagining remote education with a fully integrated platform which creates a rich, engaging, and safe e-learning experience that is as effective as in-person learning.",https://www.classnika.com
ClimUp,Provides climate risk data from the ground up.,https://www.climuptech.com/
CloudOlive,Orchestrating the SaaS ecosystem. Discover. Purchase. Optimise.,https://www.cloudolive.com
Clubfolio,The social investing app for millennials and Gen-Z,https://www.clubfolio.com
CoLogic,CoLogic is a digital building material merchant that drastically improves SMBs' productivity and client satisfaction in the building trade.,https://www.cologic.co
Coach,24/7 coaching platform.,https://getcoach.io/
Coachendo,"Coachendo makes coaching accessible, affordable and on-demand.",https://www.coachendo.com
Code Story,Code Story is developing a software solution that uses AI to translate code written by software developers into human-readable text.,http://getcodestory.com
Codify LMS,"Codify LMS - is a SaaS, LMS product with bundled CRM for language courses around the globe! We help to Automate Educational organisations and the learning processes via a single tool! No need to subscribe and pay for to several tools!",https://www.lms.codifylab.com
Codis.io,Codis.io automates the conversion of designs into production-ready code without impacting the developer customizability and ownership of the code.,https://www.codis.io
Coinfront,A platform equipping any business to accept crypto donations and payments.,https://docs.coinfront.io/
Comoon,No-code analytics platform to grow and engage your community,https://www.comoon.xyz
Context Commerce,Tools solving digital distribution and attribution for online brands.,https://www.contextcommerce.com/
Conveyo,"Through upfront property information and AI, conveyo makes conveyancing faster and more certain turning property transactions into a stress-free and user-centric digital experience.",https://conveyo.io/
Cooper Pet Care,"Cooper Pet Care provides instant access to vet support via chat or video call anytime, anywhere as well as honest pet insurance with transparent terms and lightning-fast claims reimbursement.",https://www.cooperpetcare.com
Credevia,Credevia is a platform to help SMEs bridge liquidity with accounts receivables,https://www.credevia.com
Cricinshots,The world's first Web3 game focused on cricket strategy.,https://go.cricinshots.com
Data unBlocked,"Data unBlocked is a distributed multi-ledger blockchain data platform to revolutionize how sensitive data are stored, shared, and collaborated on to unlock new potential in solving data privacy, security, and integrity issues.",https://www.dataunblocked.com
Day One,"The product mission is to allow offline businesses to do staff training, management and uphold operational excellence remotely.",https://www.weareday.one
Day One,Community and educational resources for entrepreneurs to level up.,https://www.joindayone.com/
Dear Monday,Workation Solution,https://dearmonday.io/
Decision3,"Decision3 is a sensitive data collaboration platform, that enables businesses to work on personal sensitive data, without sharing or exposing it.",https://www.decision3.ai
Degenda,Degenda enables users to track events and announcements for your web3 projects.,https://www.degenda.io/
DevX,All in one learning platform for any tech career,https://www.devxschool.com
Diesta,We fundamentally transform the way insurance payments are processed.,https://www.diesta.co.uk
DigiProc,Reinventing procurement through smart mass-negotiations.,https://www2.digiproc.com/
Dolprop,"Dolprop is on a mission to develop the most efficient, green and silent marine propulsion system, replacing conventional propellers",https://www.dolprop.se
EZYCommerce,An intelligence and automation SaaS tool to make e-commerce  business Easy and Efficient,https://www.ezycommerce.app
Earnr,"Earnr helps the self-employed maximise the time they can spend on the things that really matter; designing, building, baking, writing, delivering or whatever it is that makes their business great.",https://www.earnr.co.uk
Eduku,Digitize Indonesia's K12 schools with learning management systems to enable parents engage digitally,https://www.eduku.io
Edupops,Social app with short videos for learning.,https://edupops.com/
Ekvi,"AI-driven mobile health companion that empowers women to understand, share & manage their health concerns.",http://ekvi.io
Emani,Risk monitoring and early warning in emerging and frontier markets.,https://www.emani.io
Endless Health,"The first biomarker coaching program for heart & metabolic health – test, track, thrive!",https://www.endless.health/
Enerza,We bring Deep-tech to Utility Providers,https://www.enerza.ca/
Enoki,"The first cloud desktop built for collaboration, facilitating collaborative code review.",https://www.enoki.so/
Enspice,Season your way to making any food more nutritious.,https://www.enspice.com
Envio,Digital logistics and supply chain enabler for SMB and emerging businesses,https://www.envio.co.id
Equip,A holistic financial wellness platform democratizing personalized financial expertise through advice and education,https://www.equip.money
Erinfo,MOST INNOVATIVE MEDICAL ID. EVER.,https://www.erinfo.me
Eten,Integrated F&B supply chain management platform to optimize costs and revenue.,http://www.etentech.co
Evyon,"Evyon's mission is to enable maximum value from second life EV batteries by repurposing them in a streamlined, safe, and cost-effective way.",https://www.evyon.com
Faba Food,"Pioneering and creating habit-shifting vegan food that makes eating sustainably a joy, and not a compromise.",https://www.fabafood.co
Fair HQ,"The D&I tech platform for fast-growing companies, backed by evidence, data and behavioural science.",https://www.fairhq.co
Fanfix,"Monetize your following by creating clean, exclusive, behind-the-scenes content on Fanfix.",https://www.fanfix.io
FarmPro,Connecting the agriculture service providers with next generation of agricultural producers in need of services.,https://www.farmpro.ag/
Finuprise,Finuprise is an impact investing platform that allows millennial investors to invest in publicly traded companies aligned with their values.,https://www.finuprise.com
Finverv,Lending middleware that enables tech platforms to offer embedded credit products to their customers.,https://www.finverv.com
Flair Labs,Unlock insights from conversation data with LLMs.,https://www.flairlabs.ai/
Flight,Your marketing and sales AI co-pilot.,https://www.getflight.ai/
Flint,"Leveraging the power of cryptocurrency, Flint offers a range of passive investment assets to its users.",https://www.flint.money
Flintworks,At Flintworks we have developed a Virtual Reality toolkit that increases the efficacy of clinician-led therapy for complex mental health disorders such as Post Traumatic Stress Disorder (PTSD).,https://www.flintworks.co
FloorMotion,"A safe, non-intrusive, and affordable solution to support independent, elderly living.",http://floormotion.com
Floramis,Our product aims to turn users' plants into virtual pets and build an ecosystem around incentivizing plant care and plantkeeping,https://www.floramis.com
Flow of Work Co,We are a talent insights and opportunity marketplace platform that helps future thinking companies develop and retain their people by providing tools for HR and people leaders to manage employee career progression at scale.,https://www.flowofwork.co
FlowSpace,"FlowSpace is a marketplace that unlocks a world of inspiring, hyper-local and flexible workspaces that serves the new remote and hybrid workforce.",https://www.flowspace.co
Flowla,Flowla unifies all sales content and tools in a single personalized link.,https://www.flowla.com/
Flows,No-code platform for on-site documentation,https://www.itflows.co
Fluent,One workspace for all the apps and people you work with,https://www.fluent.to
Focia,"Powered by machine learning and generative AI, Focia enables content creators to turn their ideas into highly engaging content",https://www.focia.io/
Folio,Training students to become skilled freelancers who graduate debt-free and experience-rich.,https://www.folio.works/
Foodini,Find the right restaurants for your dietary needs. Foodini connects people with food allergies and dietary requirements to the restaurants and businesses with the most suitable options for them.,https://getfoodini.com/
For Youth,For Youth is an online platform for science-backed anti-ageing therapies.,https://www.foryouth.co
Fractiv,Fractiv is B2B solution directly integrates fractional sales within the art sales process.,https://www.fractivart.com/
Frankly Insure,"Simple, fair and transparent insurance.",https://www.franklyinsure.com
Frich,"You suck at saving money. And that’s ok – we’re here to help. It’s time to break the money taboo, unlearn bad habits and stop going broke.",https://www.getfrich.com
Fryda,"Fryda is a B2C wallet, which stores your valuable physical products, creates provenance, improves insurability, and improves CRM + CAC for B2b",https://www.fryda.life
Fueled,"The easiest, most reliable tool for collecting and organizing 1st-party eCommerce customer data.",https://fueled.io/
Further,Further is a platform that enables retail investors to access venture capital funds and be a part of the fast-growing startups that they invest in.,https://www.joinfurther.com
Geekzwolf,Your go-to-app for going into Metaverse! We unlock endless opportunities for gamers to earn.,https://www.geekzwolf.com
Genehub,Patient-owned genomic database for clinical trials.,https://www.genehub.co.uk/
GenieCloud,GenieCloud is the first dedicated no-code platform for building and scaling High Performance Data Analytics applications.,https://www.geniecloud.io
Geniess,Enabling smarter energy storage decisions.,https://www.geniess.io
Genuine Taste,Genuine Taste is unlocking the future of alternative protein by creating real animal fat (without harming animals) as a tasty and texturizing ingredient for alternative meat.,https://www.genuinetaste.co
Gladful,Building the largest healthy protein brand for kids in India.,https://www.gladful.in
Glaize,Glaize is a D2C brand reinventing women's nail care through technology and science starting with our made-to-measure gels.,https://www.glaize.co
Gleans,The easiest way to share what you love in one place.,https://www.gleans.app
Glint Solar,We are building the world's leading solar prospecting SaaS platform to help solar developers identify and analyze where to build utility-scale solar parks.,https://www.glintsolar.ai
GoMoto,Sell your car at the best price.,https://www.getgomoto.de
Goodie,Goodie is a complete wholesale platform that helps restaurateurs easily meet MOQ's and find competitively priced wholesale restaurant supplies.,https://www.goodie.cx
Goyaa,"Goyaa is revolutionizing the way citizen developers build business applications. Starting their journey in the legal industry, they are providing the infrastructure and toolkit that enables legal teams to manage workflow processes, automate manual tasks, and deliver a digitally-driven service experience to clients.",http://goyaa.ai
Graceful Finance,Providing life-changing financial and software solutions for older adults through alternative financing options,https://www.graceful.finance/
Grandstage,Content creation assistant.,https://www.grandstage.app/
Gro Tech,A multichannel SaaS tool to enable SMEs to optimize their business across various ecommerce platforms.,https://www.grotech.id
GrowSquares,We leverage remote climate assessment to ensure our users best understand their environments in order to grow successful gardens,https://www.growsquares.com
Guardadoria,"Guardadoria is an end of life planning platform to help people handle with emotional, operational e financial questions that emerge after life.",https://guardadoria.com.br/
Guardians,Guardians is India’s first full-stack medical emergency platform.,https://www.guardians.life
HIGHR Collective,"Californian B Corp certified, vegan, organic luxury lip-wear.",https://highrcollective.com/
HITMKR,Your online studio for collaboration with unlimited instrumentals.,https://www.hitmkr.com/
HStar,Building rapidly and fully reusable heavy rockets and spaceship to provide launch services around the world.,https://www.hstarspace.com/
Habaku,Vertical OS for pharmaceutical ecosystem.,http://www.habaku.id/
Healthpro,Online platform to hire top quality healthcare workers effortlessly,https://www.healthpro.id
Hearoes,"Hearoes is a SaaS Platform which accelerates the joys of hearing new sounds, confidence and well-being for those with hearing loss. It assist both recipients and clinicians to collaborate, track and empower hearing to maximise outcomes together.",https://www.hearoes.com.au
Hero,HERO is a platform that allows funders to easily invest directly in climate mobilizers so that they have the basic income they need to focus full time,https://www.hero-labs.co
Hexo AI,Generative AI infrastructure for enterprises.,https://hexo.ai/
HeyLama,"More than just a global language tutor marketplace: we empower the tutor-student relationship before, during and after classes with technology for a seamless, personalized, and measurable learning experience.",https://www.heylama.app
HoneyCoin,"Blockchain-powered, stablecoin-based social commerce platform for African Creators and Gen Z / Millenials.",https://www.honeycoin.app
Hudled,SaaS Management Platform for finance teams in fundraising startups to eliminate SaaS overspend.,https://www.hudled.com
Hustle,"Hustle is a commerce platform that enables anyone to sell what they want (physical products, digital products, or services), how they want (online or offline), and when they want (create and edit hustles on demand)",https://www.hustlesasa.com
Hydrologiq,"The easiest, fastest, and lowest-risk way to access clean, off-grid, hydrogen-generated electricity",https://www.hydrologiq.com
Hymeth,Building the world’s first electromagnetic electrolyzer.,https://www.hymeth.com
Hyperjob,B2B SaaS recruitment software for attracting hard-to-get talent through enticing next-gen job ads that convert 3x better.,https://www.hyperjob.io
Hypertype,Hypertype.co combines AI and sales intelligence for smarter business email communications.,https://www.hypertype.co
IndiaP2P,Investments platform with the best fixed income products for investors.,https://www.indiap2p.com
Inflow,A supply chain and manufacturing platform for fashion brands,https://www.neoloka.com/
Insiber,"Insiber helps SMEs to be aware, prepared, and insured for cybersecurity risks with tools and accompanying insurance offering",https://www.insiber.com
Insightful,"Insightful is an app that allows you to get smarter by watching fun, bite-sized, educational videos about topics that interest you, making knowledge more accessible and easier to digest.",https://www.insightfulme.com
InstaKin,InstaKin helps immigrants manage last-mile tasks in their home countries.,https://www.instakin.com
IntroBot,A WhatsApp bot that makes founder communities 10x more efficient by connecting similar or complementary founders with each other.,https://www.introbot.co
Invact,"A platform built at the intersection of education and Web3 with the aim to make education more accessible and inclusive, providing the real-time experience of attending a university in a virtual world.",https://invact.com
Ituloh!,"Ituloh is an end-to-end social discovery marketplace for micro, small and medium F&B businesses in Indonesia.",https://www.ituloh.co/
Jenni.ai,"Supercharge your writing with the most advanced autocomplete. End writer's block and create your exceptional content, fast.",https://www.jenni.ai
JetLearn,A European Company providing live 1:1 online coding and robotics classes for 5-16 yrs.,https://www.jet-learn.com/
Jinx Drinx,"An elevated alternative to large-batch mixed drinks, mitigating risk in party settings.",https://www.jinxdrinx.com
Jobreel,"Jobreel is the job platform for the next generation using an innovative questionnaire and machine learning to provide young professionals batches of 10 tailored job suggestions. These job profiles include detailed job descriptions, benefits, employee reviews, insights from their Instagram feed, podcasts, and articles - all in one place.",http://jobreel.me
Just Dabao,Just Dabao is the leading green marketplace dedicated to solving food waste in SEA.,https://www.justdabao.com
KNOWSHOWPING,Sell your reservation when you can’t make it,https://knowshowping.com/
Kalda,Kalda is an LGBTQIA+ community mental wellbeing app providing weekly group therapy and daily peer to peer support.,https://www.kalda.co
Kepler,Helping Companies Identify Skill Gaps in their organizations.,http://www.keplerco.io
Kidly,"Platform that enables the discovery and booking of children’s activities, helping parents to help their kids have fun!",https://kidlyapp.au/
Kiip,Data-driven Influencer commerce specialized in Nutritional Supplements,https://www.kiip.care/
Kinship,"Kinship is your people notebook. It enables you to remember and reconnect with those who matter most to you, professionally and personally.",https://www.heykinship.com
Kitchenswaps,"Kitchenswaps is a marketplace for commercial kitchen space, connecting kitchen owners with kitchen renters.",https://www.kitchenswaps.com
Kitcod,"Enabling in-app‍ Social API Infrastructure to supercharge platforms with social features and data intelligence, bringing in-app engagement for any industry, globally.",https://www.kitcod.com
Kiteline Health,Kiteline makes it easy for people to be proactive about their health through coaching - both live and through bite-sized interactive courses.,https://www.kitelinehealth.com
Klearly,Klearly's payment solution turns a phone or tablet into a point of sale.,https://www.lemonpay.nl
Kobbr,Mobile office for the everyday craftsman.,http://kobbr.com
Kolek,Kolek is a platform that orchestrate receivables - making the process of charging and receiving money from clients more efficient and effective.,https://www.wekolek.com
Kuulie,A SaaS platform for the freight forwarding and logistics industry to digitalize the end-to-end process.,https://www.kuulie.com
Kyons,Kyons™ is an AI-driven micro-learning platform that helps students identify and focus on their gaps in knowledge and skills to attain the best results.,https://www.kyons.vn/
Lagrange.AI,"Lagrange.AI is a supply chain digital twin platform that leverages AI to source, collect and integrate data in a scalable and cost-effective manner so supply chain professionals can have visibility over their operations and optimize them.",https://www.lagrange.ai
Leather,Leather replaces the audio you hear on live-broadcast television sports with the best live-sports commentary on the planet.,https://www.leatherapp.com
Lectrium,Lectrium is a full-service platform for electric vehicle home charging in the USA and by owning the installation we service our customers for life.,http://lectrium.com/
Leetify,"Leetify uses AI to automatically analyse your CS:GO matches and identify your weaknesses, so you can improve faster.",https://www.leetify.com
Legitify,Legitify is an AI powered audio-video technology solution that allows customers to notarize documents online remotely.,https://www.legitify.eu
Levelheaded,A modern mediation app for businesses and consumers.,https://www.belevelheaded.com/
Leyr,"Healthcare integrations of tomorrow, inspired by open banking.",https://www.leyr.io
Liively,In-seat meal delivery for events.,https://www.liive.ly
Linguix,Linguix is the AI writing platform for marketing teams,https://www.linguix.com
Lister,Personalized multi-language learning platform,https://www.lister.co.id
Locad,LOCAD is the integrated fulfillment solution tailored to help brands and businesses of all sizes to transition and thrive online.,https://www.golocad.com
Luca,Mental Health prevention tool for Amateur and Professional sports people.,https://www.luca.health
Lydian,First of its kind async audio timeline powering exclusive web3 communities.,https://lydn.xyz/
MABE Bio,Biotech solutions that combines technology and nature to create new materials from plants by investigating the potential of Brazilian biodiversity,https://www.mabebio.com/
MODOYO,Game development studio changing the way the competitive games are built by changing the process and making a real show!,https://www.modoyo.com/
Madu,Monetising visual content in the cookie-less world. Madu is an AI-powered software that makes shoppable advertising easy and accessible for everybody.,https://www.madu.ai/
Maekersuite,"Maekersuite is an end-to-end video creation application, that revolutionises the video creation process by providing a smart creation process.",https://www.maekersuite.com
Mainteny,Mainteny helps facility management companies increase profit and service quality by providing digital tools for their everyday work.,https://www.mainteny.com
Marco Capital,"Marco provides working capital to LatAm SME exporters by factoring their trade receivables from US buyers and, thus, managing the operational risks associated with lending to SMEs. They close the $1.5tn global SME trade finance gap, providing competitive rates to LatAm exporters through creditworthy US trading partners.",https://www.marcofi.com
Marketforce,An operating system for retail distribution in Africa,http://www.marketforce360.com
Mast,"Mast is a venture-backed fintech building cloud-native mortgage origination technology infrastructure to help lenders increase capacity, reduce costs and strengthen operational controls.",https://www.usemast.com
Maya,Pre-Financing Marketplace for Nature-Based Solutions,https://www.maya-climate.com
Mememarket,Make Memes. Bet On Memes. Earn Meem Coins.,https://www.meme.market
Metabob,Metabob's AI-assisted static code analysis enables developers and teams to detect complex hidden errors and vulnerabilities before merging their code,https://www.metabob.com
Miiji,"As a metaverse company, Miiji focuses on real application of digital avatars. Via real-time, photo-realistic, interoperable digital avatars, we empower everyone to have immersive online communication and access monetisation opportunities.",https://www.miiji.me
MindMiner,"Crowdsourcing ideas, automating patent applications, and making inventions transactable as NFTs.",https://www.mindminer.io/
MinuteSkill,MinuteSkill is making learning simple with on-demand bite-size content and knowledge-sharing communities that drive real-world outcomes.,https://beacons.ai/minuteskill
