Company Name,Company Description,Company Link
Mitigrate,Assessment and adaptation to physical climate risk for properties,https://www.mitigrate.com
Model Share AI,All-in-one machine learning project pipeline that improves models and deploys instantly.,https://www.modelshare.ai/
Modulize,"Modulize enables automated cost calculation, element extraction and generative design for Offsite construction.",https://www.modulize.io
Money 254,Money254 aggregates and reviews financial products from established financial institutions to help you compare products on the terms that matter most to you.,https://www.money254.co.ke/
Mosmos,A save-to-buy solution for Africa,https://www.uncoverskincare.co
MoveNation,MoveNation is a country and city search engine that helps early and late retirees with finding a better life for less.,https://www.movenationnow.com
MyGigsters,"MyGigsters helps you automatically track expenses and categorise them for tax purposes, find tax professionals and maximise tax savings.",https://www.mygigsters.com.au/
Mys Tyler,"The body positive app set to solve the $1 trillion ""fit"" problem by creating a more empowering and personalised shopping experience for all women.",https://www.mys-tyler.com
NFT Guru,Your shot at winning the hottest sports NFTs during trivia night,https://www.nftguru.com
NeoCarbon,NeoCarbon captures carbon at scale using existing infrastructure through Direct Air Capture (DAC).,https://www.neocarbon.tech
Neoloka,Last mile logistics solution for eCommerce platforms - Use mom & pop shops as self-collection points.,https://www.neoloka.com/
NetNow,NetNow powers B2B trade and payments through flexible checkout & financing solutions.,https://www.netnow.io/
Nevemind,A single search for a seamless workflow.,http://nevemind.com
Nhost,"Nhost is a full-fledged serverless backend for Jamstack and client-serverless applications. It enables developers to build dynamic websites without having to worry about infrastructure, data storage, data access, and user management.",https://www.nhost.io
Nife,Nife is an enterprise application deployment and orchestration platform provider that is transforming how users experience the internet.,https://www.nife.io
Nippi,"Nippi is a social click and collect app for food & drinks that allows users to jump queues, earn and share rewards and make mobile payments.",https://www.nippi.io/
Noki,Noki is the fastest possible way to synthesise and share your call insights.,https://www.noki.so
Novo,Start your refurbishment without having to wait long for experts,https://www.buildingnovo.com
Nubo,The platform designed for TypeScript developers,https://www.nubo.app
NudgeLabs,NudgeLabs combines biometric data with psychology to identify and establish the behavioral changes that improve employee wellbeing and performance,https://www.nudgelabs.com
Nuggets.Academy,Nuggets Academy is the social micro-learning platform for busy professionals.,https://www.nuggets.academy
OTee,We make it possible to produce more with less - using virtualized Operational Technology.,http://otee.io
Ocean Oasis,"A smart digital assistant for food businesses which helps users boost profitability, streamline operations, and reduce waste.",https://www.savvie.io
Ocean Oasis,Ocean Oasis develops a new and sustainable way of producing fresh water using wave power.,https://www.oceanoasis.co
Oddysee,"Oddysee makes travelling with friends effortless. Discover, plan, and book all from one app.",https://www.oddysee.co/
Off Script,"Off Script is the best way for creators to set up their very own e-commerce, sell products they love, and help their community find new favorites.",https://www.offscript.io
Olivia,Olivia lets women track their menopausal symptoms on a regular basis and learn how these progress over time.,https://www.join-olivia.com
OnArrival Pte Ltd,A single API to connect with diverse ancillary revenue partners for the travel industry.,https://www.onarrival.travel
One Key Access,"One Key Access is a contextual access control platform that automates courier access to the fragmented smart delivery ecosystem, to enable frictionless 24/7 deliveries.",https://www.onekeyaccess.com.au
Onedegree,OneDegree gives you real human support to match you with highly-ranked certification programs to start your new career.,https://www.onedegreecareers.com
Onemarket,World’s first exchange that transforms shipping containers into a tradable commodity.,https://www.onemarket.bz
Onqlave,"Onqlave is a simple privacy as a service integration that allows your business to scale, without having to manage your privacy needs along the way.",https://www.onqlave.com
Onramper,Bridging the world of fiat currencies and the world of cryptocurrencies,https://www.onramper.com
Oplinx,"Oplinx is a clean, unified inbox designed to help healthcare professionals get to and act upon time-critical information faster.",https://www.oplinx.co
Our Leg Up,"We fast tracks Aussies looking to purchase by 5 years, and offer established homeowners a return on often inaccessible equity - without any cash outlay.",https://www.ourlegup.com
Our Precious,C2C secondhand purchasing solution that makes delivery trade safe and convenient,https://www.ourprecious.co.kr/
PIBLE,Embedded Finance Platform for South East Asia that help B2B companies and Lenders to seamlessly integrate credit solutions.,https://www.pible.co
Paireds,Cloud and Security Compliance,http://www.paireds.com
Pal,"Pal is a digital palliative care solution for terminally ill patients and their family caregivers, transforming their care experience at scale.",https://www.palhelps.com
Path BioAnalytics.,Precision medicine — made possible.,https://www.pathbioanalytics.com
Pathzero,"The world is moving to net zero emissions. Institutional investors would like to understand how the capital they deploy will be impacted by the move to a carbon constrained economy. In order to more clearly manage the risks and opportunities that this presents, there needs to be clarity about the emissions from the operations of these businesses and the efforts underway to adapt. This is where Pathzero comes in.",https://www.pathzero.com
Pawjourr,Pawjourr is an online marketplace for pet owners and vets to work with their favorite brands 📝,https://www.Pawjourr.com
Payd,We work with employers to enable their employees to access earned salary on demand in between paydays.,https://www.justpayd.com
Payday,Community social betting and daily contests.,https://paydayfantasy.com/
Peak Performer,Empowering organisations by building leaders at all career levels,https://www.peakperformer.io
Peak Power,Peak Power is a distributed storage system that helps balance the electricity grid.,https://www.peakpower.io
Peccala,Peccala is one of the world's first crypto robo-investor services.,https://www.peccala.com
PerPlant,Gateway to sustainable farming through AI based sensor systems.,https://www.perplant.ai
Petgotchi,Petgotchi is a relaxing free-to-play game on a mission to bring the most beloved animal friends to you in web3.,https://www.petgotchi.com/
PharmInt,Integrated B2B Pharma Marketplace for cross border transactions.,https://www.pharmint.co
Physikit,"Physikit enables health and fitness apps to integrate the power of at-home collection and subsequent laboratory analysis of human bio-fluids such as blood blood, saliva, urine.",https://www.physikit.com
Pillio,"Pillio is creating a platform to address structural inefficiencies in the healthcare ecosystem, in order to bring care back to healthcare.",https://www.pillio.de
Pin'J,Closed-loop Working Capital Financing Fintech for Workers in the Gig Economy,http://www.getpinj.com
Plaace,We make vibrant streets and cities with a data-driven platform matching retail properties and tenants.,https://www.plaace.co
Plaza,Plaza provides the infrastructure to connect brands to Web 3 communities.,https://www.plazaapp.io
Plead,For faster and clearer communication between lawyers and clients,https://www.plead.co.kr/
PocketPet.co,Get all of your Pet Needs in One Single App!,https://www.pocketpet.co
PopInventory,"We enable grocery stores in SEA to sell online with an easy to use, mobile-first “Shopify”, embedded with grocery expertise and a supplier marketplace. With it, everyone can source, list and sell groceries with a few taps on their phone.",https://www.popinventory.com
Portant,No code document automation,https://www.portant.co
Powely,Digital platform to accelerate Green Hydrogen,https://www.powely.com
PropCode,On a mission to be the global leader in automated regulatory analysis for property development.,https://propcode.com.au/
PulsOps,"PulsOps is a no-code KPI monitoring, alerting and automated root cause analysis tool for business and operations teams",https://www.pulsops.com
Qalboo,Islamic mental wellbeing app to help muslims find peace,https://www.qalboo.com
QoL Labs,Connecting elder parents to their children as well as the online world,https://www.qollabs.co/
Quantflo,"Quantflo is an AI-driven investment platform for institutional limited partners that struggle to optmise investment returns due to inefficient processes, inadequate modelling capabilities and insufficient analytics.",https://www.quantflo.com
Quest,Enabling Gen Zs to earn by solving everyday problems.,https://www.quest-inc.co
Qweebi,Enabling kids to engage with STEM in a ‘learn by doing' approach on a planetary scale.,https://www.qweebi.com
RHevolut,Revolut makes recruitment ridiculously simple by rethinking CVs and matchmaking between companies and talents,https://www.rhevolut.com/
Rassa,Rassa helps suppliers to redistribute their near-expired and overstock items to recover additional revenue and prevent waste in landfills.,http://www.rassa.id
ReFeed,Untapped value alchemist,https://www.refeed.eco/
Reach,An integrated tech platform built to empower elderly people to live the highest quality of life possible in their own homes.,https://www.getreach.me
Reach Alternative Investments,"Reach Alternative Investments offers sophisticated investors access to exclusive institutional-grade private equity opportunities from the world's leading asset managers, with research to invest responsibly.",https://www.reachalts.com.au
Reach! Finance,All-in-one personal financial management app for Indonesian urban young millenials and gen Z,https://www.getreach.id
Reeler,"Reeler is an enterprise SaaS platform that helps brands streamline user-generated content (UGC) marketing, to boost brand affinity and fuel their business results.",https://www.reelertech.com
Refundway,Refundway is Instant refund and return platform in cash.,http://www.refundway.com
Relynk,One API to give building owners and service providers access to a commercial building’s real-time data.,https://www.relynk.io
Remedy,AI-powered spine surgery decision-making,https://www.remedylogic.com
Remote Social,Remote Social is the ultimate destination for remote and hybrid teams to come together online to build connection and culture through play and shared experiences.,https://www.remotesocial.io
Renude,Renude offers personalised skincare routines and product recommendations.,https://renude.co/
Respaces,Respaces is a two-sided marketplace where real estate tenants can list unused space and remote workers and companies book them as flexible workspaces. Always transparent pricing and smooth online booking.,https://www.respaces.co
Revisit,Revisit helps you find what you want when you need it. The effortless information management platform automatically curates your information and makes it easy to find in the tools you already use.,https://revisit.org/
RightPaw,"RightPaw is the simpler, safer, supportive way to buy your pet online - connecting vet-approved breeders with new responsible owners.",https://www.rightpaw.com.au
SLAB,"SLAB has built a fully automated end-to-end distribution workflow platform that optimizes global distribution of mobile games and apps on a massive scale, resulting in 10+x boost of installs.",https://www.slabco.co
SOUS,"A chef-to-consumer platform connecting customers with premium, branded meal kits from their favourite restaurants and chefs.",https://www.eatsous.com
SPREAD IT,Data-driven direct mail marketing solution,https://spreadit.imweb.me/
SUSTIE,"We empower people to make sustainable purchasing decisions by providing relevant data, incentives and a 10x user journey when buying fashion online.",https://www.sustie.io
SWOOP,"SWOOP is a smart demand-responsive shared-mobility platform built for emerging countries to deliver affordable, comfortable, convenient, reliable and safe commutes daily by connecting fleet owners to the underserved travel demand.",https://www.swoopmove.com
Sahha,Sahha is a behavioural data API specialising in providing objective mental health analysis and insights,https://www.sahha.ai
Sangti,Asia's first full-service carbon management platform.,https://www.sangti.tech
Sapyen,Sapyen is an at-home male fertility diagnostic solution built to allow frictionless access to fertility care for all men from anywhere at any time.,https://www.sapyen.co
Satelleat,Europe’s first food delivery service comparison platform.,https://satelleat.nl/
Savion Aerospace,Disrupting the aviation industry with on-demand personal jets powered by LNG.,https://www.flysavion.com
Scrambler,Korean learning app using metaverse technology,https://woozu.co/
Scrapp,Scrapp is a B2B online trading platform for scrap and recycled plastics with a global user base and localized expertise in Southeast Asian markets.,https://www.scrappdeals.com
ScreenApp,"All-encompassing business assistant that revolutionises the way you capture, organise, and consume videos to your exact needs instantly and accurately.",https://www.screenapp.ai/
Scribe,"Scribe is a data platform for company information, powered by research-based AI. Uncover deep insights about private companies and end data entry from PDFs.",https://www.scribelabs.ai
Secha,Home purchase solution to get move in ready houses,http://www.sechahome.com
SecondBody,"SecondBody helps you communicate better with the people you're closest with through the use of live, human proxies.",https://www.secondbody.co
Seesaw,Sustainable solutions for mental healthcare,https://seesawvietnam.com/
SellerLot,Unleashing the power of distributed commerce,https://www.sellerlot.com
Semble,Matchmaking for game development—LinkedIn for the game industry,https://www.semble.games
Sentire,Sentire is making agricultural robots smarter to quickly learn tasks and adapt or react to their environment.,https://www.sentire.ai
Sentry.co,Sentry is a password manager that synchronizes your passwords offline. This enables the user to have custody of their own passwords.,https://www.sentry.co
Servo IA,Servo optimises Front-of-House workflow to maximise performance and drive profit.,https://www.iamservo.com/
Sesama Care,"Make high-quality, holistic, and integrated solutions for chronic disease more accessible",http://www.sesama.care
Seshboard,"Seshboard is an all-in-one platform for running effective workshops online, combining the best aspects of in-person gatherings with virtual space and smart meeting tools.",https://www.seshboard.com
Shapemaker,Shapemaker is an industry first automated design solution powered by AI to optimise new telecom towers and analyse existing structures at scale.,https://www.shapemaker.io
Shelfi,We connect brands seeking affordable rental spaces with retailers who offer their spare spaces as short-term leases.,https://getshelfi.com/
Shepherd,Shepherd is a B2B SaaS solution shaping the Future of Work by helping companies and teams set and run more efficient meetings.,https://www.meetshepherd.com
ShopAssist,ShopAssist is a marketplace that connects consumers to local shops with a single checkout across multiple shops fulfilled by personalized shoppers.,https://www.shopassist.com.au
Simplyblock,"Simplyblock builds cross-cloud high-performance cyberstorage technology that bridges data gaps between cloud, non-cloud and edge environments with maximum security while powering next-generation workloads and concepts such as AI, ML, HPC or distributed cloud sustainably.",http://simplyblock.io
Skoog,Using satellite images and machine learning to generate high-quality forest-based carbon credit at scale.,https://www.skoog.earth
Sleuth,Sleuth provides parents with crowdsourced and highly precise directions for the care of their children's health.,https://www.hellosleuth.com
Sloyd,We help digital creators live up to their full potential by making 3D creation easier.,https://www.sloyd.ai
Snappretail,SnappRetail is a complete retail operating platform that empowers traditional retailers in Pakistan to grow their margin.,https://www.snappretail.io
Sneakers,The Real-time on-demand local info platform,https://sneakersapp.io/
Snout,"Snout is the first digital pet health and wellness hub in LatAm, connecting pet owners to pet professionals in a simple and accessible way",https://www.snout.pet/
Solidate,Solidate is a platform where top web3 companies are matched with highly sought-after tech freelancers from around the world.,https://www.solidate.net
Solutiv,Make Financing More Affordable for All!,http://credipass.id/
Songsay,Songsay lets you replace your text messages with song-snippets that sing them for you.,https://www.songsay.app
Sonomo,Encore gives retail investors access to digital streaming royalties previously available only to industry insiders or institutional funds,https://www.sonomo.com
Sortd,"Sortd is an Online Shopping Tool that allows users to save items from any online store, contemplate their options and check out all in one place.",https://www.getsortd.co
Sorted,AI-powered solutions to sort recyclable materials.,https://www.sortedtech.io/
Soul Made,"We provide the next generation of composable NFT platforms for everyone to create, buy and sell customized NFTs with painting, music, and videos. Display with AR and VR into the Metaverse.",https://www.soulmade.art
SourceOps,Effortless code vulnerability detection,https://sourceops.io/
Sparkel,Sparkel is a collaborative web platform where building materials are ordered directly from the design.,https://www.sparkel.io
Speiz,"Speiz enables warehouse and logistics space owner to generate more revenue, and users to find their optimal warehouse and logistics space solution.",https://www.speiz.com
Spoor,Next generation biodiversity monitoring that enables industry and nature to coexist,https://www.spoor.ai
Sprinque,"Sprinque is a B2B checkout platform for merchants and marketplaces which makes it possible for sellers to “Sell and Forget”, while business buyers decide how and when they would like to pay for a purchase.",https://www.sprinque.com
Spunshift,B2B Marketplace for the sustainable fashion industry. Please visit us at www.spunshift.com,https://www.spunshift.com
StackGo,B2B SaaS that works with the tools that businesses use every day.,https://www.stackgo.io
Stairs Financial,"Find a home you can actually afford. Automatically apply for government grants, loans, and tax breaks and buy up to three years sooner.",https://www.stairsfinancial.com/
Stori,"Stori is a collaborative game design tool for video games. We help game designers build characters, places, story arcs, and more through large language models.",https://www.stori.gg/
StoryTiling,"StoryTiling is a consumer app that uses anthropological science to help people capture their life stories in the form of videos and narratives, and share them with family and friends.",https://www.storytiling.com
Straloo,One-Stop Shop for musculoskeletal problems. We are starting out with a digital physiotherapy for health insurers,https://www.straloo.com.br/
Struct,Structured financial instruments across chains that maximize returns and reduce risk for investors.,https://www.struct.fi
Studynash,Connecting prospective international students with current international students and helping them study abroad.,https://studynash.co/
Subundl,"A SaaS platform empowering eCommerce businesses to create and manage a tailored subscription model unique to their business; enabling their customers to construct personalised subscriptions with products they want, as frequently as they need.",https://www.subundl.com
Sukhiba,A Community commerce platform for the African mass market.,https://sukhiba.com/
SuperFi,SuperFi empowers and incentivises people to pay off their debts in the fastest and cheapest way possible.,https://www.joinsuperfi.com
SuperHedge,"SuperHedge provides investors with principal-protected exposure to Crypto markets via structured products wrapped in NFTs,",https://www.superhedge.com
Surer,"Surer’s collaborative platform helps intermediaries work with clients and insurers with greater speed and efficiency - with this, we will capture and grow a US$1 trillion market.",https://www.surer.sg
Surpluss(WSYS),B2B platform to buy and sell medical surplus Inventory,https://www.surpluss.co
Svested,"At Svested, our vision is to supercharge growth, create wealth, and fulfill dreams through ESOP (Employee Stock Ownership Plan). We make ESOP easy with curated advice and an intuitive ESOP management platform.",https://www.svested.com
SweatPals,"SweatPals is an app for all your fitness and wellness needs: join events and communities, connect with friends, and discover new ways to stay healthy.",https://www.sweatpals.com/
Swivel,Swivel connects GenZ to employers through a video-first hiring platform.,https://www.getswivel.co.uk
Syrax,"Multi-chain crypto payment gateway for contactless, borderless, and secure transactions on the blockchain",https://www.syrax.au/
Syrenna,"Syrenna provides real-time measurements from the ocean surface, water column, and seafloor using robotic floats.",http://syrenna.com
Tactiq,"Capture remote meeting insights with ease, access these insights in your meeting knowledge base and share key items throughout your organization.",https://www.tactiq.io
TalkShop,"TalkShop is a social shopping platform that enables customers to get free expert, bespoke advice on high-consideration goods, like golf clubs, cameras, snowboards and cars.",https://www.gettalkshop.com
Tango,"A SaaS solution that combines proposals, contracts, change requests and payments into one intelligent agreement that makes freelancers and their clients move faster",https://tangoagreements.com/
Tapline,Digital funding platform providing subscription-based companies access to instant capital,https://www.tapline.io
Teroka,Infrastructure for content creators to launch D2C brands,https://www.teroka.id
Terrascope,Find your dream rural property.,https://www.terrascope.io
Test At Home,"Easy, DIY, accurate, convenient home-based oral fluids testing using a proprietary 'Lollipop -like'  technology for COVID-19 and other health biomarkers.",https://www.testathome.co
The One Two,"68% of women are uncomfortable in their bras. We are solving this problem with a hyper-personalised shopping experience, superior online fit technology and  better bras.",https://www.theonetwo.com.au
The State Plate,One-stop solution for Indian ethnic foods.,https://www.thestateplate.com
The0mission,A B2B marketplace enabling SMEs to add new renewable energy to the grid,https://www.the0mission.dk
ThirdRoc,"Cloud based technology platform empowering B2B segments to reduce credit risk and increase sales through our growing network of lenders, merchants and enterprises..",https://thirdroc.ai/
Tinga,"In Tinga, we give entrepreneurs the chance to reach more clients and organize their business when selling on social commerce.",https://www.tingatrade.com
Trabotyx,"Automating weed control, creating peace of mind and profitability for farmers.",https://www.trabotyx.com
TraceHat,"Insights powered advertising, compliance and brand management",https://www.tracehat.com
TradeBay,"A B2B marketplace connecting verified buyers and sellers of fruit, enabling them to discover new market opportunities and trade with trust in a more safe and transparent market.",https://www.tradebay.co
Transitry,Digital MRV for NbS to bridge financial gap,https://www.transitry.com/
Traxlo,Tasku.app enables local communities around the stores to earn important extra income and make retail operations more sustainable.,https://www.traxlo.com
Treyd,"Treyd is a pay-later service for world trade. We allow brands to pay their suppliers later, making brands selling atoms as scalable as companies selling software.",https://www.treyd.io
Tribee,Tribee is a platform helping frontline workers perform better and earn more.,https://www.tribee.io
Truclimate,"TruClimate is an end-to-end, B2B climate solutions platform that helps medium to large companies to monitor, reduce and offset their emissions.",https://truclimate.earth/
Try Cooked,"cooked is a subscription meal kit that provides pre-measured, perfectly portioned ingredients sourced from suppliers leading to reduced food waste.",https://www.trycooked.com
Tulix,Our App enables African migrants to make direct remittances to institutions and to manage how beneficiaries spend funds using ring-fencing technology.,https://www.tulix.app
Tutadoo,"A platform where users can find, participate and connect with activities they love and,event promoters can conveniently share and market their events.",https://www.tutadoo.com
Twirl,"Twirl is a platform that enables brands to scale video content on-demand, for a monthly fee.",https://www.usetwirl.com
Two,BNPL for B2B.,https://www.two.inc
UNCOVER,"UNCOVER is revolutionizing self-care in Africa, starting by building the continent's most trusted skincare brand and content platform.",https://www.churpy.co
UpMarket,"Virtual concierge platform connecting vacation rental guests, property managers and local businesses.",https://upmarket.cloud/
UpdateAI,We help teams automate updates about what they need to know - without wasting time in constant meetings or mining messages.,https://www.update.ai
Upflowy,"Upflowy empowers growth leaders to build, optimise and AB test their lead and signup flows without the engineering burden.",https://www.upflowy.com
Uppl,"Buy and sell FMCG products with the all-in-one pricing, consolidation and fulfilment platform.",https://www.uppl.io/
Uppr,The world’s first real time knowledge assistant. Uppr picks out keywords from your virtual calls and presents you with relevant information in real time.,https://uppr.co/
Urban Swan,The world's first marketplace for date experiences.,https://www.urbanswan.com
Veri Peri,veriperi is the trusted beauty social commerce platform that empowers product lovers and artists to co-create beauty products for their audience.,https://www.veriperi.club
Vero Technologies,Vero is a floor plan (inventory) financing platform for independent auto dealerships with predictive risk monitoring and loan servicing automation.,https://www.vero-technologies.com
Virtuall,We enable brands with the infrastructure to bridge the physical and virtual worlds of metaverse,https://www.virtuall.pro
Volopay,Volopay simplifies business spending for SMBs in South East Asia.,https://www.volopay.co
Volunteero,Volunteero volunteer management software will dramatically reduce the time spent managing volunteers while providing the best possible experience.,https://www.volunteero.org/
Vulkaza,Vulkaza is uniting makers into a global manufacturing force to build a sustainable future where things are produced where and when they are needed.,https://www.vulkaza.com
Vybe,Vybe is a fun and secure matchmaking platform designed for Africans.,https://www.appvybe.com
Vyro,Vyro is accelerating the adoption of zero-emission vehicles by making it easy and affordable for customers to purchase them.,https://www.vyro.com.au
WIDTH,Search all your work at a glance,https://www.width.app/
WIRL,"Mental wellbeing app fuelled by food. Experience that happy, healthy feeling through the gut:brain axis. A personalised and science backed way of eating that supports both ‘how’ and ‘what’ we eat.",https://www.wirl.app
WORKCLASS,Social hiring platform for front line staff. Everyone finds a job in 24 hours!,https://www.workclass.co
Wareflex,An on-demand warehousing platform for delivering warehouse services on a pay-per-use basis.,https://platform.wareflex.io/
WattWorker,WattWorker is making it commercially and operationally viable to electrify heavy-duty Class 8 Semis.,https://www.wattworker.com
WeGoWhere,"WeGoWhere lets millennials and Gen Z plug into local communities and find friends for anything they want to do - be it playing badminton, board games or happy-hour drinks.",https://www.wegowhere.com
Well Seasoned,"Well Seasoned solves the hardest part of cooking at home by offering a varied line of ready to cook, pre-seasoned meats in exciting flavors.",https://www.getwellseasoned.com
Wellbase,"Wellbase is more than a wellness platform, it’s a wellbeing revolution. We empower employees with unrivalled access to the world of holistic wellness, inspiring them to get curious, experiment and curate a personalised practice.",https://www.wellbase.com.au
Werkit,"Werkit curates advanced teams so you can focus on your core innovations. Our teams specialize in Computer Vision, Natural Language, and Data Processing for AI and Automation.",https://www.werkitafrica.com
Wizly,"Wizly is a community marketplace platform for companies to solve business problems in go-to-market, marketing, product management, and talent management by collaborating with leading global professionals.",https://www.wizly.app
Worthmore,We build software and provide logistical support to charities to help them tap into the millions of dollars worth of used phones lying in people's drawers. In doing so we not only help fight e-waste we make the world a better place for all.,https://www.worthmore.io
Yatek,Yatek provides more efficient treatment of social anxiety through virtual reality exposure therapy,https://www.yatek.io
Yolo ex,#Yolo ex is a platform built by and for Millennial Investors.,https://www.yoloex.io
ZIWA,Ziwa provides a transformational solution that cuts through people's concern around counseling by providing experience-based learning for their greater well-being.,https://www.ziwaku.com
ZZAN,Gifting Simplified,https://www.zzan.io/
Zealth-AI,AI platform to empower pathologists with 3X more accurate and 4X faster diagnosis along with personalised insights for better patient outcomes.,https://www.zealthlife.com
Zero-Code,"Zero-Code is building the ultimate NFT launchpad for brands. Our platform allows you to launch your NFT campaigns, customize your smart contracts and create utilities for your project without writing a single line of code.",https://www.zero-code.io
Zibra,"An ""over-the-top"" digital wallet that helps you take control of your spending and drives your dollar further.",https://www.zibra.com.au
Zopnik,We help small businesses build and grow their online stores.,https://www.zopnik.com
Zupply,We make zero-waste constructions happen by digitalizing material flows with a material management software embedded with a circular trade platform.,https://www.zupply.site
altern,"We are building the UK's first virtual, drug-free, pain clinic targeting musculoskeletal conditions with treatment adherence at the core.",https://www.altern.health
billsmoov,"Platform to help users manage and pay their bills by replacing all their bills with one regular, smoothed payment.",https://www.billsmoov.com.au
bitewell,bitewell is the first nutrition-focused restaurant and grocery delivery app. Our mission is to make healthy eating simple and actionable.,https://www.bitewell.com
bluesheets,"bluesheets is a middleware that connects financial data seamlessly between business systems, eliminating data entry and menial back-office admin.",https://www.bluesheets.io
boober,"Boober is a digital marketplace that connects new parents to expert care providers and classes for pregnancy, birth and postpartum.",https://www.getboober.com
causeNFT ecosystem,a Web3 enabled ecosystem for social impact,https://www.linkedin.com/company/causenft-ecosystem/
clare&me,Mental health focused SaaS solution to help people with anxiety help themselves by creating innovative therapy interventions - combining technology with a human component,https://www.clareandme.com
codedamn,Solving interactivity at scale for the 100 million people around the world learning to code better.,https://www.codedamn.com
digip,digip provide a SaaS subscription service for fully automated protection trademarks and domain names.,https://www.digip.com
docufen,"Enables compliant digital entry for the Food & Drug industry in Microsoft Word, putting an end to paper-based documentation",https://docufen.com/
gool.,We bridge the gap between you and the suppliers.,https://www.gool.is
humit,humit is a social media platform for bite-sized audio sharing and discovery.,https://www.humit.app
infinit Bio,infinit Bio is developing a biosynthesis platform technology for the pharmaceutical production of medical psychedelics (e.g. psilocybin) and discovery of novel therapeutic molecules.,https://www.infinit.bio
koverd,koverd is an innovative data platform for insurance.,https://www.koverd.com.au
laiout,"The first AI powered design tool to help you create your floor plans. Faster, better, personalized.",https://www.laiout.co
netbird,"Netbird is a zero configuration VPN for fast-moving teams, building on Zerotrust technology.",https://www.netbird.io
nobuk.africa,nobuk is a mobile-first SaaS product that enables the consolidation of financial and business records for micro and small businesses. Nobuk offers an automated transaction tracking and customer engagement solution.,https://www.nobuk.africa
not8,The feedback tool for any web-based product making product review 10 times faster.,https://www.not8.co
phantomiq,"A deep tech, SaaS-platform that reduces complexities, saves costs and simplifies Private Cloud management.",https://www.phantomiq.co
randevu,"Industry-agnostic marketplace infrastructure which enables companies to build, run, and scale marketplaces in fast and efficient way. Due to its open architecture, extendibility and scalability its perfect even for B2B enterprise marketplaces",https://www.randevu.tech
saasguru,Super-charging Cert Prep for SaaS Certifications,https://www.saasguru.co
seedata.io,Seedata.io are a cybersecurity deception-technology SaaS that identifies previously undetected data leakage incidents.,https://www.seedata.io
storify.me,storify.me is a performance-driven creator's network that connects brands with creators of micro content. The platform applies predictive analytics to rank and remunerate creators according to their ability to influence purchase decisions.,https://www.storify.me
trace,"trace makes it easy and rewarding for anyone to become carbon neutral. We help consumers, employees and consumer brands measure and offset their carbon footprint and track and share their impact.",https://www.our-trace.com
vellum.ink,"A cloud-based SaaS platform for Property Development professionals to make rapid and more accurate assessments of potential building sites, enabling better investment decisions.",https://www.vellum.ink
vyou.art,Vyou.art brings meaningful art into everyday life - your screens become artworks and your mobile a guide into a larger world.,https://www.vyou.art
xWatts,xWatts is intelligent energy management to reduce energy costs & emissions in commercial buildings by over 20%.,https://www.xwatts.co/
