Company Name,Company Link,Description
Simply Good Jars,https://sosv.com/portfolio/simply-good-jars,Making last-minute food consumption easier and healthier
Halla,https://sosv.com/portfolio/halla,The Taste Intelligence company
True Made Foods,https://sosv.com/portfolio/true-made-foods,We turn junk food into superfood
FreshSpoke,https://sosv.com/portfolio/freshspoke,The wholesale local food sales and logistics platform
Uplift Food,https://sosv.com/portfolio/uplift-food,Good mood food
Bizzy Coffee,https://sosv.com/portfolio/bizzy-coffee,Bizzy coffee for busy people
Rambuhealth,https://sosv.com/portfolio/rambuhealth,Innovative food ingredient company developing antioxidants directly from nature
Fieldcraft,https://sosv.com/portfolio/fieldcraft,Fieldcraft is the vertical marketplace and digital supply chain for agriculture
PLANETARIANS,https://sosv.com/portfolio/planetarians,Affordable and superior plant-based meat through ingredient innovation
Global Belly,https://sosv.com/portfolio/global-belly,Turning followers into customers for food influencers
Re-Nuble,https://sosv.com/portfolio/re-nuble,"Leading pioneer of biologically-superior, chemical-free hydroponic fertilizer"
Bramble,https://sosv.com/portfolio/bramble,Feed your pets the way you feed yourself
FoodCloud,https://sosv.com/portfolio/foodcloud,India's #1 marketplace for home-cooked food
Servy,https://sosv.com/portfolio/servy,Next-generation restaurant mystery dining platform
Wasteless,https://sosv.com/portfolio/wasteless,The world's first machine learning and real-time tracking solution for grocery stores
Abbot's Butcher,https://sosv.com/portfolio/abbots-butcher,Artisan plant-based meats
Foodie For All,https://sosv.com/portfolio/foodie-for-all,Catering from high-demand restaurants
LiveKuna,https://sosv.com/portfolio/livekuna,"Working with Ecuadorian farmers to create food that's healthy, tastes good, and does good"
mori,https://sosv.com/portfolio/mori,More food. Less waste.
EIO Diagnostics,https://sosv.com/portfolio/eio-diagnostics,A clear picture of udder health
ENTR,https://sosv.com/portfolio/entr,The future of food and beverage formulation and compliance
GIVN Goods,https://sosv.com/portfolio/givn-goods,TOMS for everyday products
Ingest AI,https://sosv.com/portfolio/ingest-ai,Our AI eats costs so you don't have to
Kojo,https://sosv.com/portfolio/kojo,Shamelessly Meaty Plant-Based Jerky
Millennia TEA,https://sosv.com/portfolio/millennia-tea,An entirely new kind of tea
Plasma Nutrition,https://sosv.com/portfolio/plasma-nutrition,Changing the functional properties of food and nutrition
Tasting Collective,https://sosv.com/portfolio/tasting-collective,Dinner Out. Reinvented.
Abby's Better,https://sosv.com/portfolio/abbys-better,Peanut-free vegan and paleo nut butters
Sweetie Pie Organics,https://sosv.com/portfolio/sweetie-pie-organics,Organic functional foods for mom and baby
FreshSurety,https://sosv.com/portfolio/freshsurety,Real-time freshness reporting anywhere in the world for just a few cents per carton
Hidden Gems Beverage Company,https://sosv.com/portfolio/hidden-gems-beverage-company,"Drink Reveal, an antioxidant-rich avocado seed brew"
Milk Moovement,https://sosv.com/portfolio/milk-moovement,Actionable intelligence across the dairy supply chain
Living Food Company,https://sosv.com/portfolio/living-food-company,Building whole foods 2.0
"Lula, Inc.",https://sosv.com/portfolio/lula-inc,Convenience at the front door
TinyChef,https://sosv.com/portfolio/tinychef,Building largest voice enabled kitchen commerce
"Tru, Inc.",https://sosv.com/portfolio/tru-inc,Function with fizz
Amp your Good,https://sosv.com/portfolio/amp-your-good,A new kind of food drive featuring real food
Mushroom Cups,https://sosv.com/portfolio/mushroom-cups,Mushroom-infused organic coffee
Booster AgTech,https://sosv.com/portfolio/booster-agtech,Data-driven farming decision platform
Paragon Pure,https://sosv.com/portfolio/paragon-pure,Sprouting food innovations
Bite,https://sosv.com/portfolio/bite,Personalized self-service kiosks for hospitality sector
Vaartani,https://sosv.com/portfolio/vaartani,AI-powered consumer insights
Farma Genetics Inc,https://sosv.com/portfolio/farma-genetics-inc,Food as medicine is the future of healthcare
Nature Preserve,https://sosv.com/portfolio/nature-preserve,Life cycle assessment for the food industry
nonfood,https://sosv.com/portfolio/nonfood,Sustainable algae-based foods that drastically reduce agricultureâ€™s carbon footprint
RxDiet,https://sosv.com/portfolio/rxdiet,Deep learning solution for prescription dietary treatment
