Company Name,Link,Description
Epsilogen,https://epsilogen.com,Epsilogen is a developer of an immuno-oncology company intended to develop immunoglobulin antibodies to treat cancer.
Splice Bio,https://splice.bio,Splice Bio is a biotech company based on intein technologies developed in the Muir Lab at Princeton University.
Volocopter,https://volocopter.com,Volocopter is an urban air mobility service provider that builds electric air taxis.
Wandercraft,https://wandercraft.eu,"Wandercraft develops and sells the first exoskeleton to walk self-balanced, for inpatient rehab and outpatient daily life."
Automata,https://automata.tech,Automata is a biotechnology company that provides workflow automation for the life sciences industry.
LabGenius,https://labgeni.us,LabGenius is a biopharmaceutical company developing protein therapeutics using a machine learning-driven evolution engine.
Leyden Labs,https://leydenlabs.com,Leyden Labs provides a platform that targets commonalities of viral families to protect humanity from known and future viruses.
Outsight,https://outsight.ai,"Outsight develops a revolutionary kind of sensor, a 3D Semantic Camera that brings Full Situation Awareness to Smart Machines and Cities."
Precirix,https://precirix.com,Precirix is a platform that is developing radio-immunotherapeutic drugs for cancer patients.
SparingVision,https://sparingvision.com,SparingVision is a biotechnology company focused development of genomic medicines for the treatment of blinding inherited retinal diseases.
Medlumics,https://medlumics.com,Medlumics is a startup employing biophotonic technologies to develop products that improve human living standards.
Phenix,https://wearephenix.com,PHENIX is a web and service platform specialized in the reduction of waste.
Scenic Biotech,https://scenicbiotech.com,Scenic Biotech is a developer of a genomics and immunotherapy technologies created to unlock genetic suppressors.
Tubulis,https://tubulis.com,Tubulis Technologies generates uniquely matched protein-drug conjugates.
WeMaintain,https://wemaintain.com,WeMaintain is the first B2B platform linking skilled technicians and professional customers.
ImCheck Therapeutics,https://imchecktherapeutics.com,ImCheck Therapeutics is a developing novel therapeutics that target members of the butyrophilin (BTN) super-family of checkpoint molecules.
MiroBio,https://mirobio.com,MiroBio is Harnessing the natural control mechanisms of the immune system.
7bridges,https://the7bridges.com,7bridges is an AI-powered optimization engine for businesses to scale and automate logistics and supply chains.
BotsAndUs,https://botsandus.com,BotsAndUs captures real-time insights of warehouse operations using fully autonomous robots and Artificial Intelligence.
Cognite,https://cognite.com,Cognite develops an industrial IoT data platform that enables digital transformation of heavy-asset industries.
Core Biogenesis,https://corebiogenesis.com,Core Biogenesis is a biotechnology company building next-generation recombinant protein production technologies.
Deciphex,https://deciphex.com,Deciphex uses digital pathology and AI to address the pathology productivity gap
Dixa,https://dixa.com,Dixa is a conversational customer engagement software that connects brands with customers through real-time communication.
Elypta,https://elypta.com,Preventing cancer mortality by developing a metabolism-based liquid biopsy platform for early detection and monitoring
Flexciton,https://flexciton.com,Flexciton is the intelligent advantage platform for streamlined chipmaking
Gourmey,https://gourmey.com,We create sustainable cultivated meat delights for an uncompromising and conscious generation.
HMNC Brain Health,https://hmnc-brainhealth.com,HMNC Brain Health is a precision medicine pioneer in psychiatry based in Munich.
Humanising Autonomy,https://humanisingautonomy.com,Humanising Autonomy is building the global standard for human machine interactions.
IO Biotech,https://iobiotech.com,IO Biotech is a clinical-stage biotech company developing disruptive immune therapies for the treatment of cancer.
Karakuri,https://karakuri.com,"Karakuri is revolutionising Quick Service (QSR) and Fast Casual restaurants with intelligent, robotic kitchen automation."
Mavenoid,https://mavenoid.com,Mavenoid's AI-powered platform allows hardware & consumer electronics companies to provide seamless support automation and remote service.
Moon Surgical,https://moonsurgical.com,"Moon Surgical aims to augment the surgeons with leaps forward in computer vision, haptics, and robotics in its proprietary platform"
Myricx Pharma,https://myricxpharma.com,Myricx Pharma is a drug discovery company focused on developing small molecule inhibitors.
Slamcore,https://slamcore.com,"SLAMcore provides location, mapping and perception software for robots and other autonomous machines to become spatially intelligent"
Veritas Intercontinental,https://veritasint.com,"Genetics.The mission of Veritas Int. is to fulfill the promise of the human genome, empowering people to maximize quality and length of life"
Climeworks,https://climeworks.com,Climeworks engages in capturing CO2 from the air via commercial carbon dioxide removal technology.
CMR Surgical,https://cmrsurgical.com,CMR Surgical is developing the next-generation surgical robotic system for minimal access surgery.
Exotec,https://exotec.com,"Exotec offers an innovative order preparation system, based on a fleet of collaborative mobile robots."
ieso,https://iesogroup.com,Transforming mental healthcare by unlocking the power of clinical data
Microbiotica,https://microbiotica.com,Microbiotica is a developer of human microbiome therapeutics intended to discover and develop live bacterial therapeutics and biomarkers.
MindMaze,https://mindmaze.com,MindMaze is a digital neurotherapeutic platform that provides digital assessments and therapeutics to treat and rehab patients.
ONI,https://oni.bio,"ONI is a pioneer of super-resolution microscopy, making this advanced technology accessible to new generations of researchers."
Osler Diagnostics,https://oslerdiagnostics.com,"Lab-quality diagnostics for anyone, anywhere, at any time."
Sophia Genetics,https://sophiagenetics.com,SOPHiA GENETICS is a biotechnology firm that aims to support healthcare professionals by maximizing the power of data-driven medicine.
Arculus,https://arculus.de,"Arculus helps multi-variant manufacturers cope with the market's bespoke customisation demand, being more efficient and cost-effective."
Ardoq,https://ardoq.com,"Ardoq is a dynamic, data-driven tool for Enterprise Architecture and a key tool for the digital transformation journey."
Brytlyt,https://brytlyt.com,Brytlyt is a young and dynamic company with a clear mission – to empower organisations through transformational data analytics.
Ionate,https://ionate.energy,IONATE is a technology company developing next-generation Hybrid Intelligent Transformers.
MinervaX,https://minervax.com,Minervax is a biotechnology company developing a novel vaccine against Group B Streptococcus.
Oncoinvent,https://oncoinvent.com,Oncoinvent develops new radiopharmaceutical products for better treatment options for cancer patients.
Pheon Therapeutics,https://pheontx.com,Pheon Therapeutics is an Antibody-Drug Conjugate (ADC) specialist that creates ADCs for a variety of difficult-to-treat cancers.
Puraffinity,https://puraffinity.com,"Puraffinity develops precision materials to target chemicals, with an initial focus on PFAS in water"
Synthace,https://synthace.com,"Synthace is a Life Sciences R&D cloud platform that enables experiments to be automated, with the resultant data seamlessly integrated."
Tekyn,https://tekyn.com,Tekyn is a designer and manufacturer of on demand fashion textiles.
bit.bio,https://bit.bio,Bit.bio specializes in the fields of coding and biology that determine the identity of every human cell.
Nuclera,https://nuclera.com,Nuclera makes biology accessible through desktop enzymatic protein and gene synthesis.
Oxbotica,https://oxbotica.ai,"Oxbotica is developing the next generation of autonomous vehicles, creating the software that makes them go."
Wandelbots,https://wandelbots.com,Wandelbots is a technology platform that enables non-programmers to train industrial robots to complete precision tasks.
Amadix,https://amadix.com,Amadix is a biotechnology company focused on the development and commercialization of diagnostic tools for personalized oncology treatment.
Arrival,https://arrival.com,"Arrival is a developer and manufacturer of zero-emission, public transportation vehicles."
Baseimmune,https://baseimmune.co.uk,Baseimmune is a biotech startup founded to create the next generation of vaccines.
Bolk,https://bolk.co,"Bolk provides autonomous bowl-making robotic canteen which producing warm meals, cold dishes and desserts from precooked ingredients."
Elsa,https://elsa.science,"Elsa is a platform for patient-driven research for better drugs, health, and prevention."
Foodsteps,https://foodsteps.earth,Foodsteps is a london-based startup that has developed a platform to help the food sector reduce its carbon footprint.
Fuzzy Logic Robotics,https://flr.io,Fuzzy Logic Robotics makes industrial robot programming fast.
GFBiochemicals,https://gfbiochemicals.com,GFBiochemicals company to produce levulinic acid at commercial scale directly from biomass.
