Company Name,Company Link
/companies,/companies
2redbeans,http://www.2redbeans.com/en/chinese-dating/
3yourmind,http://3yourmind.com/
6dot,http://www.6dot.com/
accevia,http://accevia.wordpress.com/
accuragen,http://www.accuragen.com/
adhusky,http://www.adhusky.com/
adventaccess,http://adventaccess.com
aerialintel,http://www.aerialintel.com/
aetherbiomedical,https://www.aetherbiomedical.com
,
afreshtechnologies,http://afreshtechnologies.com/
agathos,https://www.agathos.io
agetak,http://www.agetak.com/
agriwebb,http://www.agriwebb.com/
aifi,http://www.aifi.com
akoyabio,http://www.akoyabio.com
alariss,https://www.alariss.com/
alation,https://alation.com/
alchemynano,https://www.alchemynano.com
alertive,http://www.alertive.com
alescalife,https://www.alescalife.com/
alicetechnologies,http://alicetechnologies.com/
alignedcarbon,https://www.alignedcarbon.com/
alixia,http://www.alixia.com
ambient,http://ambient.ai/
amigocloud,https://www.amigocloud.com/homepage/index
ampervue,http://www.ampervue.com
analyticsmd,http://analyticsmd.com/
angazadesign,http://www.angazadesign.com
anifie,http://www.anifie.com
apostlebio,http://apostlebio.com
appfluence,http://www.appfluence.com/
appfluence,https://appfluence.com/
apportable,http://www.apportable.com/
apptimize,https://www.apptimize.com
apstemtx,https://www.apstemtx.com/
archsys,https://archsys.io
argo,https://www.argo.io/
ariapharmaceuticals,https://ariapharmaceuticals.com/
arioliving,http://www.arioliving.com/
aromyx,http://www.aromyx.com
arterys,https://www.arterys.com/
arundo,http://www.arundo.com
audacy,http://audacy.space
augmedix,https://www.augmedix.com
availsmedical,http://www.availsmedical.com/
getaviate,http://www.getaviate.com/
getawair,https://getawair.com/
axiomexergy,http://www.axiomexergy.com
axi,https://www.axi.us
ayasdi,https://www.ayasdi.com/
baarzo,http://www.baarzo.com/
babynoggin,http://www.babynoggin.com
babyquip,http://www.babyquip.com
badgermapping,http://badgermapping.com/
ballersbridge,https://www.ballersbridge.com/
banyansecurity,http://www.banyansecurity.io
beddrsleep,http://www.beddrsleep.com
bellbiosystems,https://www.bellbiosystems.com/
bempu,http://www.bempu.com
bioserenity,https://www.bioserenity.com/
spectrum,http://spectrum.ieee.org/tech-talk/biomedical/devices/a-pacemaker-for-your-digestive-system/
bioz,https://www.bioz.com/
bitbullcapital,http://www.bitbullcapital.com
blacksms,http://blacksms.info/
blendoor,http://www.blendoor.com
bluecrewjobs,http://www.bluecrewjobs.com
getbluesky,https://getbluesky.io/
bodygram,https://www.bodygram.com
bolt,http://bolt.com
boomfantasy,http://www.boomfantasy.com
boostedboards,https://www.boostedboards.com/
boosterfuels,https://www.boosterfuels.com/
branch,https://branch.io/
breakerchat,http://www.breakerchat.com/
breakthrough,https://breakthrough.com/
breathometer,https://www.breathometer.com/
bright,http://bright.md/#bright-approach-1
brilliant, https://brilliant.tech
bulletbio,http://www.bulletbio.com/
buzzsolutions,http://buzzsolutions.co
campsixlabs,http://campsixlabs.com
campfire,https://campfire.so/
onecanopy,https://www.onecanopy.com/
carboculture,https://www.carboculture.com
carbonlighthouse,http://www.carbonlighthouse.com/
cardinalanalytx,http://www.cardinalanalytx.com
cardiologs,https://cardiologs.com
carmentabio,http://www.carmentabio.com/
celestialtherapeutics,https://www.celestialtherapeutics.com
celldatasci,http://celldatasci.com
chalkschools,https://chalkschools.com/
chatous,https://www.chatous.com/
chesscademy,http://www.chesscademy.com
jlabs,http://jlabs.jnjinnovation.com/partners/chimera-bioengineering
chobolabs,http://www.chobolabs.com
citadelid,https://citadelid.com
citrine,http://www.citrine.io/#citrineinformatics
civilmaps,http://civilmaps.com
clarifyhealth,http://www.clarifyhealth.com/
classowl,https://classowl.com/
clearearinc,https://clearearinc.com/
clearmetal,http://www.clearmetal.com
getclef,https://getclef.com
cloudcath,http://www.cloudcath.com
codehs,http://codehs.com/
cofisoftware,https://cofisoftware.com
playcoinflip,https://playcoinflip.com
coinpip,https://www.coinpip.com
compactcath,http://www.compactcath.com/
confidentcannabis,http://www.confidentcannabis.com
tvfplay,https://tvfplay.com/
contentanalyticsinc,http://www.contentanalyticsinc.com
contractsafe,https://www.contractsafe.com
cooler,http://www.cooler.tv
coolerheads,https://www.coolerheads.com/
copilotsincare,http://www.copilotsincare.com/
trycopycat,http://trycopycat.com
cortexxus,https://www.cortexxus.com
create-learn,https://www.create-learn.us/
crossingminds,https://crossingminds.com
superfanapp,https://www.superfanapp.com/
curebase,https://curebase.com
cytobank,https://www.cytobank.org/index.html
daric,http://www.daric.com
datafleets,https://www.datafleets.com/
datafox,http://www.datafox.com/
datatron,http://www.datatron.com
datorium,http://www.datorium.com
decentriq,https://decentriq.com
deep6analytics,https://www.deep6analytics.com
deepvision,https://deepvision.io
delee,http://www.delee.co
dfxmachina,http://www.dfxmachina.com
diagnoseearly,https://www.diagnoseearly.com
diffbot,http://www.diffbot.com/
dispatchertrucking,http://dispatchertrucking.com/
distinc,http://distinc.tt/
doriantherapeutics,http://www.doriantherapeutics.com
imdtl,http://imdtl.com/
doxiq,http://www.doxiq.com/
dripcapital,http://www.dripcapital.com
dynaoptics,http://www.dynaoptics.com/
em-labs,http://www.em-labs.com/
eargo,https://eargo.com/
eco,https://www.eco.com
edcast,http://www.edcast.com/
eden,https://www.eden.io/
eero,https://eero.com/
einsite,http://einsite.com
ekodevices,https://ekodevices.com/
elsanow,http://www.elsanow.io
embracefamilyhealth,http://www.embracefamilyhealth.com/
embroker,https://www.embroker.com/
meetemme,https://www.meetemme.com
empiric,https://empiric.io
empo,https://empo.health
empowerly,http://www.empowerly.com
enablebiosciences,http://www.enablebiosciences.com
enya,https://enya.ai
epatients,https://www.epatients.com/
epibiome,http://epibiome.com/
epikabio,http://www.epikabio.com
epinomics,http://www.epinomics.co/
getethos,http://www.getethos.com
everybodydancenow,http://everybodydancenow.org/
exactuals,http://www.exactuals.com/#what-we-do
tryexponent,https://tryexponent.com
factorhardware,https://www.factorhardware.com/
factor-14,http://www.factor-14.com/
farmhill,https://www.farmhill.com/
farminghope,https://farminghope.org
fastforward,https://www.fastforward.ai/
prizma,http://www.prizma.tv/
ferrum,http://ferrum.ai
fibralignbio,https://www.fibralignbio.com
fictiv,https://www.fictiv.com/
filtricine,https://www.filtricine.com
finverse,https://www.finverse.com
app,https://app.finvoice.co/
flamestower,http://flamestower.com/
flowcastlab,http://www.flowcastlab.com/
fluent,http://fluent.pet
foldscope,http://www.foldscope.com
fonebook,http://fonebook.com/
forallsecure,https://forallsecure.com
foreveroceans,http://www.foreveroceans.com
forwardnetworks,https://www.forwardnetworks.com/
fourleaf,http://www.fourleaf.net
franklychat,http://www.franklychat.com/
freenome,http://www.freenome.com/
fuelx,http://www.fuelx.com
fullfill,https://fullfill.com
furpeepslabs,https://www.furpeepslabs.com/
futurecardia,https://futurecardia.com/
gameclosure,http://www.gameclosure.com/
gametime,http://www.gametime.co/
gardeneur,https://gardeneur.com
garten,http://www.garten.co/
gausssurgical,http://www.gausssurgical.com/
gen1elifesci,http://www.gen1elifesci.com
genapsys,https://www.genapsys.com/
genrad,http://www.genrad.io/
genomelink,https://genomelink.io/
gfycat,http://www.gfycat.com
gigabryte,http://www.gigabryte.com/
gigagen,http://www.gigagen.com/
gitstar,https://gitstar.com/
giveadayglobal,http://www.giveadayglobal.org
globavir,http://www.globavir.com/
glyphic,http://www.glyphic.bio
gordian,http://www.gordian.bio
gridspace,https://www.gridspace.com/
growrk,https://growrk.com/
gruv,http://gruv.io
gwapps,https://gwapps.com
gyfted,https://www.gyfted.me/
lightup,https://www.lightup.io/
haveitback,http://www.haveitback.com (B2C) and www.lostandfoundsoftware.com (B2B)
haystack,http://www.haystack.tv/
healthcrew,http://healthcrew.me/
healthyhorizons,https://www.healthyhorizons.com/
heapanalytics,https://heapanalytics.com/
heartthis,https://www.heartthis.com/
heartvista,http://www.heartvista.com/
hemlane,https://www.hemlane.com/
hepatx,http://hepatx.com/
hingeto,https://www.hingeto.com/
hint,http://www.hint.com
homemade-cooking,http://www.homemade-cooking.com/
humandx,https://www.humandx.org/
hypahub,https://www.hypahub.com
hyperink,http://www.hyperink.com/
istemai,https://www.istemai.com
idiomatic,https://idiomatic.io
immune-onc,https://www.immune-onc.com
IMMUNE,http://IMMUNE.us
imprimedicine,https://www.imprimedicine.com/
imvaria,https://www.imvaria.com
indriotech,http://indriotech.com
imicrobes,http://www.imicrobes.com
infinigene,http://www.infinigene.com
inflammatix,http://www.inflammatix.com
innerplant,https://www.innerplant.com
InnoVeinMedical,http://www.InnoVeinMedical.com
insidemaps,http://www.insidemaps.com/
instartlogic,https://www.instartlogic.com/
insynctive,http://insynctive.com/
jetlore,http://www.jetlore.com/
johego,https://www.johego.org
joinedapp,http://www.joinedapp.com/
juntosglobal,https://juntosglobal.com
kangaroohealth,http://www.kangaroohealth.com
kapwing,https://www.kapwing.com
kariusdx,https://www.kariusdx.com/
kazm,https://kazm.xyz/
keokit,https://www.keokit.com
kibbo,http://www.kibbo.com
kidaptive,http://www.kidaptive.com/
kindhumanoid,http://www.kindhumanoid.com
kinedu,https://www.kinedu.com
kit,https://kit.co/
knotch,https://www.knotch.it
knownmed,http://knownmed.com
knowtex,http://www.knowtex.ai
koalitycode,https://koalitycode.com/
kodiak,https://kodiak.com/
kofa,https://kofa.io/
laderalabs,http://www.laderalabs.com/
perimeter-solutions,https://perimeter-solutions.com/2020/05/07/perimeter-solutions-acquires-laderatech-and-fortify-brand-fire-retardant-technology/
lark,https://www.lark.com/
legal,https://www.legal.io/
leoapp,https://www.leoapp.com
lessthan3,http://www.lessthan3.com/
letsmaybe,https://letsmaybe.com/
level5labs,https://level5labs.com
levitasbio,https://www.levitasbio.com
levo,http://www.levo.com 
lexigram,http://www.lexigram.io/
liberio,https://www.liberio.io/
getlief,https://getlief.com
life360,https://www.life360.com/
lifo,https://www.lifo.ai
light,https://www.light.house/
lily,https://www.lily.camera/
limebike,http://www.limebike.com
letslinc,http://www.letslinc.com/
linknovate,http://www.linknovate.com/
lioness,https://lioness.io/
littlelane,https://www.littlelane.com
logomix,https://logomix.bio/
techcrunch,http://techcrunch.com/2013/05/10/loki-studios-joins-yahoo/
lolliandpops,http://www.lolliandpops.com/
lomotif,http://www.lomotif.com
longgame,https://longgame.co
lucidinside,http://lucidinside.com/
lucirahealth,http://www.lucirahealth.com
luckyday,http://luckyday.co/
lullysleep,http://www.lullysleep.com/
luma,http://luma.io/
lumahealth,https://www.lumahealth.io/
lumatherapeutics,http://www.lumatherapeutics.com
lumos,https://lumos.tech
lunasleep,http://lunasleep.com/
luxurypresence,http://www.luxurypresence.com
lyfeline,http://www.lyfeline.co/
maderight,https://maderight.co/
madorra,http://www.madorra.com
maestro,https://maestro.io
magicalmicrobes,http://www.magicalmicrobes.com/
magneticinsight,http://www.magneticinsight.com/
getmagpie,http://www.getmagpie.com/
makerwine,http://www.makerwine.com
malliq,http://www.malliq.com
manime,https://www.manime.co
marcopolo,https://www.marcopolo.me
mathpapa,https://www.mathpapa.com/
about,https://about.mattermost.com/
me,http://me.me
medigram,https://www.medigram.com/
mediwhale,https://mediwhale.com/
orthobullets,http://www.orthobullets.com/
medwhat,http://medwhat.com/
memery,http://www.memery.com
metamap,https://www.metamap.com/
metamixis,http://www.metamixis.com
meetmikey,http://www.meetmikey.com/
militarymobile,http://www.militarymobile.us
mindsumo,https://www.mindsumo.com/challenges
miroculus,https://www.miroculus.com/
mobiledatalabs,http://mobiledatalabs.com/
mocacare,http://mocacare.com
modewalk,http://www.modewalk.com/reg/signup
mojo,https://mojo.vision/
moltencloud,https://www.moltencloud.com
monami,https://www.monami.io/
morpher,https://www.morpher.com/
motionmathgames,http://motionmathgames.com/
mymotiv,http://www.mymotiv.com/
moxxly,http://www.moxxly.com
multerra,http://www.multerra.bio
muvrlabs,http://www.muvrlabs.com
mymoneykarma,https://www.mymoneykarma.com/
naluri,https://www.naluri.life
name-coach,https://www.name-coach.com
nanowearinc,http://www.nanowearinc.com
nayahealth,http://nayahealth.co/
wnmlive,http://www.wnmlive.com/
nearpod,http://nearpod.com/
nebia,https://www.nebia.com
neighborly,https://neighborly.com/
nephrogenbiotech,http://www.nephrogenbiotech.com/
neptuneffs,http://www.neptuneffs.com/
nightingaleapp,http://www.nightingaleapp.com/
nimblr,http://www.nimblr.ai
nirmidas,http://www.nirmidas.com/
flynixie,http://flynixie.com
neednova,http://www.neednova.com
novoed,https://novoed.com/
novoloop,http://www.novoloop.com
novonate,http://novonate.com/
nscribe,https://nscribe.tech
nsitemedical,https://www.nsitemedical.com/
numedii,http://numedii.com/
nurep,http://nurep.com/
mynutrigene,http://www.mynutrigene.com/
nutrivise,http://www.nutrivise.com/
oasense,http://www.oasense.com
oculogica,http://www.oculogica.com
odoc,https://www.odoc.life
officeninjas,http://officeninjas.com/
ohmnilabs,https://www.ohmnilabs.com/
olakaihawaii,http://www.olakaihawaii.com
oloid,https://www.oloid.ai
omiq,https://www.omiq.ai/
omlet,http://www.omlet.me/
ondaka,https://ondaka.com
onfleet,https://onfleet.com
optery,https://www.optery.com/
opus-12,http://www.opus-12.com
orcabio,http://www.orcabio.com/
ordaos,https://www.ordaos.bio
ought,https://ought.com/
ownerlistens,https://ownerlistens.com/
pactio,http://pactio.us
pandiahealth,https://www.pandiahealth.com
paragongenomics,https://paragongenomics.com/
patreon,https://www.patreon.com/
payjoy,https://www.payjoy.com/
peakresponse,https://peakresponse.net/
periscope,https://www.periscope.tv/
picnichealth,https://picnichealth.com/
pictionhealth,https://pictionhealth.com
pinpointpredictive,https://www.pinpointpredictive.com/
playpiper,http://playpiper.com
piperbio,http://www.piperbio.com
piquetea,http://piquetea.com
pixelapse,https://www.pixelapse.com/
pixterity,http://pixterity.com/
pixlee,https://www.pixlee.com/
playfullyapp,http://www.playfullyapp.com
playposit,https://www.playposit.com
plentina,https://plentina.com/
plumelabs,https://www.plumelabs.com
plusplus,https://plusplus.co/
pocketnaloxone,https://pocketnaloxone.com
polarr,https://www.polarr.co/
policydock,https://www.policydock.com/
polygence,https://www.polygence.org/
poynt,https://poynt.com/
pr3vent,http://pr3vent.com
pragmabio,http://www.pragmabio.com
prediction,http://prediction.io
predictiveedge,http://predictiveedge.com/
prenav,http://www.prenav.com/
fogartyinstitute,http://www.fogartyinstitute.org/docs/Prescient-Surgical_Flyer.pdf
probiusdx,https://www.probiusdx.com
getprodigy,http://getprodigy.com
promofarma,https://www.promofarma.com/
usepropeller,http://usepropeller.com/
proseeder,http://www.proseeder.com
protocol,https://protocol.ai/
provenskincare,http://www.provenskincare.com
puracath,http://www.puracath.com
linkedin,http://www.linkedin.com/pub/klint-rose/7/b03/a2a/
pyrameshealth,http://www.pyrameshealth.com/
quadrigabiosciences,http://quadrigabiosciences.com
quantiacs,https://www.quantiacs.com/
quantumcyte,https://quantumcyte.com
qurasense,http://www.qurasense.com
rageon,https://www.rageon.com/
ramani,https://ramani.io
ravellaw,https://www.ravellaw.com
realstax,http://www.realstax.com
recoveryrecord,http://recoveryrecord.com/
withregard,https://withregard.com/
rejuvenationtech,http://rejuvenationtech.com
relimetrics,http://www.relimetrics.com/
remedly,https://www.remedly.com/
figma,https://www.figma.com/community/plugin/1031998871372194709/Rendition%3A-Figma-%3EReact-in-one-click
renovorx,http://www.renovorx.com
rentmethod,https://www.rentmethod.com/
respirix,https://respirix.com
angel,https://angel.co/reveal
rhumbix,http://www.rhumbix.com/
joinriff,https://www.joinriff.com
rightfoot,https://www.rightfoot.com
riven,https://www.riven.ai
startx,http://startx.stanford.edu/
roc-connect,http://www.roc-connect.com/
roominatetoy,http://www.roominatetoy.com/
ropazi,http://www.ropazi.com
safebeat,http://www.safebeat.com
sailinternet,https://sailinternet.com/
samegoal,https://samegoal.com/
sandstonediagnostics,http://www.sandstonediagnostics.com
staysavy,https://staysavy.com
scorebeyond,http://www.scorebeyond.com
scoutible,http://www.scoutible.com/
script,http://script.me/
seadronepro,http://www.seadronepro.com
seaurchin,https://www.seaurchin.io
secure3,http://www.secure3.io
sense,https://www.sense.ly
sensel,http://www.sensel.com/
semplus,https://www.semplus.com
wlab,http://www.wlab.io
sentilink,https://sentilink.com/
sentry,http://www.sentry.ai
trysequel,http://www.trysequel.com
servers,http://servers.global/
servicemob,http://www.servicemob.com
shapertools,https://shapertools.com/
shelterluv,https://www.shelterluv.com/
shimmer,https://shimmer.care
shopwell,http://www.shopwell.com/
myshortanswer,http://www.myshortanswer.com
sidewire,https://sidewire.com
silexica,https://www.silexica.com
simpolaris,https://www.simpolaris.com/
onsizzle,https://onsizzle.com/
skip,http://www.skip.it/
rideskip,http://www.rideskip.com
skycoolsystems,http://www.skycoolsystems.com
slang,https://slang.ai
sleektext,https://sleektext.com
sleepbus,http://www.sleepbus.co/
slyce,https://www.slyce.io/
smartwalk,http://smartwalk.weebly.com/
solarunion,http://www.solarunion.com/
trysolstice,http://www.trysolstice.com/
asksonar,http://www.asksonar.com
sonitracksystems,http://www.sonitracksystems.com/
sourcegraph,https://www.sourcegraph.com
getspect,https://www.getspect.com
spiraltx,http://www.spiraltx.com
breathware,http://breathware.com/
spoton,https://spoton.it/
sprayable,http://sprayable.co
spryhealth,https://spryhealth.com/
stache,http://stache.com
stageagent,http://stageagent.com/
sctheranostics,http://www.sctheranostics.com/
getstorybox,http://www.getstorybox.com/?
stottlerhenke,https://www.stottlerhenke.com/products/aurora/
streetbeat,http://www.streetbeat.com
strivelabs,http://strivelabs.io
strofe,https://www.strofe.com/
apstudynotes,http://www.apstudynotes.org/
subtlemedical,https://subtlemedical.com/
summertechnologies,http://www.summertechnologies.com/
svtp,http://www.svtp.com/#
sweep,http://sweep.co
goswift, http://goswift.ly/
myswitchmate,https://www.myswitchmate.com/
sylvaticabio,https://www.sylvaticabio.com/
synnada,http://synnada.ai
synovalife,https://www.synovalife.com
system,http://system.ai/#front_page
tachyus,http://www.tachyus.com/
tackk,https://tackk.com
tacticalhaptics,http://tacticalhaptics.com/
tag,https://tag.bio/
tangibleplay,http://www.tangibleplay.com/
tangramvision,https://www.tangramvision.com
tankwallet,https://www.tankwallet.com/
tappityapp,https://www.tappityapp.com/
jointaro,https://www.jointaro.com/
tawkify,http://tawkify.com/
teacrush,http://www.teacrush.com
teachfx,https://teachfx.com
teapot,https://www.teapot.co
techmate,https://www.techmate.com
teleonhealth,https://teleonhealth.com/
theguestbook,https://theguestbook.com
thepillclub,http://www.thepillclub.com
stanford,http://www.stanford.edu/~mcfchan/thinkbulbs/index.html
threadloom,http://www.threadloom.com
tibaray,https://tibaray.com/index.php
ticketdm,http://www.ticketdm.com
tikr,https://tikr.com/
tinfoilsecurity,https://www.tinfoilsecurity.com
asktipster,http://www.asktipster.com
tombo,http://tombo.io/
tombot,https://tombot.com/
toneden,https://www.toneden.io
tortugaagtech,http://www.tortugaagtech.com/
totoexpress,http://www.totoexpress.org
travelstride,https://www.travelstride.com
weartreats,http://weartreats.com/
tripcipe,https://www.tripcipe.com/
truckerpath,https://truckerpath.com/
trueandco,http://www.trueandco.com
gust,https://gust.com/companies/tuntuntutu
twentyeighthealth,http://twentyeighthealth.com
uncorporeal,http://www.uncorporeal.com/
unify,https://unify.id
go,http://go.untrodden.com/
upbeatpr, https://www.upbeatpr.com
urbanmobility,http://www.urbanmobility.tech
userfront,https://userfront.com
veebot,http://www.veebot.com/
vence,http://www.vence.io
verdigris,http://verdigris.co/
versame,http://www.versame.com/
vida,https://www.vida.com/
videoslick,https://videoslick.com
vipecloud,http://www.vipecloud.com/
vital,https://www.vital.enterprises
vocate,https://www.vocate.me/
vynca,https://www.vynca.org/
angel,https://angel.co/waldo-2
wassha,http://wassha.com/
watchup,http://www.watchup.com/
antelope,http://www.antelope.de
wefinance,http://www.wefinance.co
wefuel,http://www.wefuel.com
wellsheet,http://wellsheet.com
blogs,http://blogs.wsj.com/digits/2013/03/23/apple-acquires-indoor-location-company-wifislam/
workhood,https://www.workhood.com
worklife,https://www.worklife.com
workr,https://workr.com/
xola,http://xola.com/
crunchbase,https://www.crunchbase.com/organization/yellowsmith#/entity
yumlist,https://www.yumlist.com
yup,https://yup.com/
zainartech,https://www.zainartech.com/
Zendrop,http://Zendrop.com
zendyhealth,https://www.zendyhealth.com/
zenflow,http://www.zenflow.com/
zephyrusbio,https://www.zephyrusbio.com/
zero,https://zero.app
zglue,http://www.zglue.com
zingbox,http://www.zingbox.com
zinier,http://www.zinier.com
zivamedical,http://www.zivamedical.com
zobreus,https://www.zobreus.com/
